experiment,participant_id,trial_id,trial_order,phase_id,stimulus_left,stimulus_right,response,response_side,condition_raw,device,age,gender,rt_measure
EXP2,1,exp2_t81,81,judgment,statua,audace,audace,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t82,82,judgment,eccellenza,diamante,eccellenza,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t83,83,judgment,pianta,saggio,saggio,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t84,84,judgment,onore,vino,onore,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t85,85,judgment,puzza,stufa,puzza,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t86,86,judgment,natale,albero,natale,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t87,87,judgment,grezzo,barile,barile,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t88,88,judgment,facile,morbido,facile,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t89,89,judgment,intelletto,idrante,intelletto,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t90,90,judgment,cappello,rovente,rovente,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t91,91,judgment,brutale,miele,brutale,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t92,92,judgment,ottimismo,profumo,ottimismo,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t93,93,judgment,asilo,motivo,motivo,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t94,94,judgment,rasoio,stritolare,stritolare,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t95,95,judgment,tromba,potenza,potenza,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t96,96,judgment,mercato,vantaggio,vantaggio,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t97,97,judgment,opzione,giacca,opzione,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t98,98,judgment,annoiato,mestolo,annoiato,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t99,99,judgment,genere,cioccolato,genere,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t100,100,judgment,lavare,attivare,attivare,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t101,101,judgment,dormire,paradiso,paradiso,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t102,102,judgment,tavolo,pressione,pressione,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t103,103,judgment,crepuscolo,orologio,crepuscolo,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t104,104,judgment,prete,devoto,devoto,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t105,105,judgment,occhio,inganno,inganno,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t106,106,judgment,paletta,collisione,collisione,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t107,107,judgment,deforme,tronco,deforme,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t108,108,judgment,atletica,scarpa,atletica,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t109,109,judgment,montagna,codardo,codardo,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t110,110,judgment,grave,caviglia,grave,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t111,111,judgment,febbre,pino,febbre,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t112,112,judgment,elegante,felpa,elegante,left,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t113,113,judgment,poltrona,fiducia,fiducia,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t114,114,judgment,bocca,riverente,riverente,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t115,115,judgment,intimo,mistico,mistico,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t116,116,judgment,scarafaggio,orribile,orribile,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t117,117,judgment,cane,cortese,cortese,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t118,118,judgment,burro,tenero,tenero,right,1,trackpad,24.0,F,keypress
EXP2,1,exp2_t119,119,judgment,specchio,spirito,spirito,right,1,trackpad,24.0,F,keypress
EXP2,2,exp2_t0,0,judgment,attico,modesto,modesto,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t1,1,judgment,insolente,vasca,insolente,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t2,2,judgment,intelletto,idrante,intelletto,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t3,3,judgment,fastidio,naso,fastidio,left,1,mouse,20.0,M,keypress
