experiment,participant_id,trial_id,trial_order,phase_id,stimulus,probe_type,condition,response,accuracy,rt,age,gender,rt_measure
data_DRM,3,recognition_t3,3,recognition,inquinamento,studied,studied,0,0,2785,28,F,keypress
data_DRM,3,recognition_t4,4,recognition,inchiostro,studied,studied,1,1,1628,28,F,keypress
data_DRM,3,recognition_t5,5,recognition,foglio,studied,studied,1,1,2776,28,F,keypress
data_DRM,3,recognition_t6,6,recognition,nera,studied,studied,0,0,4142,28,F,keypress
data_DRM,3,recognition_t7,7,recognition,scuola,studied,studied,0,0,1560,28,F,keypress
data_DRM,3,recognition_t8,8,recognition,tavolo,studied,studied,0,0,1234,28,F,keypress
data_DRM,3,recognition_t10,10,recognition,paglia,studied,studied,1,1,1195,28,F,keypress
data_DRM,3,recognition_t12,12,recognition,concerto,studied,studied,1,1,2943,28,F,keypress
data_DRM,3,recognition_t13,13,recognition,ritmo,studied,studied,1,1,1168,28,F,keypress
data_DRM,3,recognition_t15,15,recognition,arpa,studied,studied,1,1,1961,28,F,keypress
data_DRM,3,recognition_t16,16,recognition,ghiaccio,studied,studied,0,0,1528,28,F,keypress
data_DRM,3,recognition_t17,17,recognition,coperta,studied,studied,0,0,2243,28,F,keypress
data_DRM,3,recognition_t19,19,recognition,tiepido,studied,studied,0,0,1396,28,F,keypress
data_DRM,3,recognition_t20,20,recognition,ira,studied,studied,1,1,1513,28,F,keypress
data_DRM,3,recognition_t21,21,recognition,imbestialire,studied,studied,1,1,1178,28,F,keypress
data_DRM,3,recognition_t22,22,recognition,odio,studied,studied,0,0,1426,28,F,keypress
data_DRM,3,recognition_t23,23,recognition,malcontento,studied,studied,1,1,2490,28,F,keypress
data_DRM,3,recognition_t24,24,recognition,italia,studied,studied,1,1,2053,28,F,keypress
data_DRM,3,recognition_t25,25,recognition,vento,studied,studied,0,0,1494,28,F,keypress
data_DRM,3,recognition_t26,26,recognition,alza,studied,studied,0,0,1911,28,F,keypress
data_DRM,3,recognition_t28,28,recognition,furfante,studied,studied,1,1,1518,28,F,keypress
data_DRM,3,recognition_t29,29,recognition,rapinatore,studied,studied,1,1,1112,28,F,keypress
data_DRM,3,recognition_t30,30,recognition,scassinare,studied,studied,1,1,1496,28,F,keypress
data_DRM,3,recognition_t31,31,recognition,assassino,studied,studied,1,1,1262,28,F,keypress
data_DRM,3,recognition_t32,32,recognition,filo,studied,studied,0,0,3726,28,F,keypress
data_DRM,3,recognition_t33,33,recognition,punta,studied,studied,1,1,1945,28,F,keypress
data_DRM,3,recognition_t34,34,recognition,cucire,studied,studied,1,1,2294,28,F,keypress
data_DRM,3,recognition_t37,37,recognition,lievito,studied,studied,1,1,1344,28,F,keypress
data_DRM,3,recognition_t39,39,recognition,pasta,studied,studied,1,1,1261,28,F,keypress
data_DRM,3,recognition_t40,40,recognition,foce,studied,studied,1,1,1695,28,F,keypress
data_DRM,3,recognition_t41,41,recognition,diga,studied,studied,1,1,1293,28,F,keypress
data_DRM,3,recognition_t42,42,recognition,torrente,studied,studied,1,1,1530,28,F,keypress
data_DRM,3,recognition_t43,43,recognition,pesce,studied,studied,0,0,2110,28,F,keypress
data_DRM,3,recognition_t44,44,recognition,tela,studied,studied,1,1,1211,28,F,keypress
data_DRM,3,recognition_t45,45,recognition,insetto,studied,studied,1,1,1278,28,F,keypress
data_DRM,3,recognition_t48,48,recognition,puzza,weakly,new,0,1,1377,28,F,keypress
