uniqSubId,vocabulary_score,spelling_score
MARCS_03/21/2013_14:55:50_~,0.65,0.682927
MARCS_12/13/2012_16:30:13_~,0.95,0.804878
MARCS_12/17/2012_17:10:17_~,0.8,0.890244
Macquarie_04/05/2013_13:56:02_C.M,0.875,0.853659
Macquarie_04/05/2013_13:59:08_R.C,0.525,0.743902
Macquarie_04/05/2013_14:55:02_A.C,0.775,0.560976
Macquarie_05/17/2012_15:53:29_C.A,0.85,0.817073
Macquarie_05/17/2012_16:03:24_R.S,0.625,0.621951
Macquarie_05/21/2012_09:59:15_K.B,0.675,0.707317
Macquarie_05/21/2012_10:01:46_L.J,0.8,0.792683
Macquarie_05/21/2012_11:16:44_E.C,0.275,0.621951
Macquarie_05/21/2012_11:19:24_D.K,0.85,0.756098
Macquarie_05/21/2012_12:08:11_L.C,0.725,0.768293
Macquarie_05/21/2012_12:13:45_C.K,0.85,0.902439
Macquarie_05/21/2012_14:30:22_T.P,0.55,0.768293
Macquarie_05/21/2012_14:31:26_D.K,0.8,0.792683
Macquarie_05/21/2012_15:41:20_A.N,0.775,0.841463
Macquarie_05/21/2012_15:44:19_A.M,0.625,0.695122
Macquarie_05/21/2012_16:51:31_E.B,0.825,0.780488
Macquarie_05/21/2012_17:05:32_E.H,0.8,0.804878
Macquarie_05/22/2012_09:52:23_C.M,0.825,0.829268
Macquarie_05/22/2012_10:01:37_M.R,0.3,0.54878
Macquarie_05/22/2012_11:00:44_M.F,0.825,0.646341
Macquarie_05/22/2012_11:04:28_A.R,0.875,0.829268
Macquarie_05/22/2012_12:12:17_A.W,0.7,0.804878
Macquarie_05/22/2012_12:20:21_S.J,0.425,0.5
Macquarie_05/22/2012_14:34:53_K.R,0.625,0.634146
Macquarie_05/22/2012_15:47:27_A.N,0.775,0.756098
Macquarie_05/22/2012_16:07:36_A.T,0.725,0.646341
Macquarie_05/22/2012_16:54:10_S.S,0.825,0.804878
Macquarie_05/22/2012_17:55:06_H.J,0.75,0.780488
Macquarie_05/22/2012_17:57:45_A.D,0.625,0.682927
Macquarie_05/25/2012_12:55:46_S.M,0.75,0.804878
Macquarie_05/25/2012_13:03:23_J.N,0.675,0.817073
Macquarie_05/28/2012_09:52:45_S.L,0.85,0.780488
Macquarie_05/28/2012_11:06:05_J.H,0.825,0.731707
Macquarie_05/28/2012_12:22:48_A.J,0.75,0.878049
Macquarie_05/28/2012_12:25:24_S.G,0.775,0.841463
Macquarie_05/29/2012_10:59:49_T.J,0.625,0.768293
Macquarie_05/29/2012_12:16:57_T.O,0.725,0.731707
Macquarie_05/29/2012_14:23:32_R.R,0.575,0.707317
Macquarie_05/29/2012_14:31:14_I.J,0.9,0.731707
Macquarie_05/29/2012_17:02:17_M.G,0.625,0.768293
Macquarie_05/29/2012_17:57:45_M.B,0.8,0.841463
Macquarie_05/31/2012_15:55:04_S.G,0.65,0.829268
Macquarie_05/31/2012_17:12:27_R.C,0.775,0.768293
Macquarie_06/01/2012_12:52:08_~,0.525,0.658537
Macquarie_06/01/2012_12:59:47_E.C,0.675,0.829268
Macquarie_06/04/2012_11:06:32_H.H,0.725,0.536585
Macquarie_06/04/2012_12:03:20_T.N,0.875,0.829268
Macquarie_06/05/2012_09:53:24_I.C,0.75,0.865854
Macquarie_06/05/2012_11:02:14_R.N,0.8,0.853659
Macquarie_06/05/2012_12:14:14_K.C,0.75,0.719512
Macquarie_06/05/2012_14:37:54_K.L,0.725,0.817073
Macquarie_06/05/2012_14:38:25_A.A,0.7,0.695122
Macquarie_06/05/2012_16:54:52_J.M,0.675,0.695122
Macquarie_06/05/2012_18:04:13_F.B,0.725,0.853659
Macquarie_06/08/2012_11:56:35_E.S,0.65,0.597561
Macquarie_06/08/2012_12:18:40_S.H,0.775,0.658537
Macquarie_06/14/2012_10:02:49_E.M,0.75,0.768293
Macquarie_06/14/2012_15:40:00_R.M,0.7,0.804878
Macquarie_06/18/2012_10:59:29_M.K,0.725,0.658537
Macquarie_06/18/2012_12:13:33_T.Y,0.675,0.682927
Macquarie_06/19/2012_09:54:30_A.B,0.775,0.743902
Macquarie_06/19/2012_14:21:54_M.M,0.825,0.768293
Macquarie_06/19/2012_14:30:06_R.T,0.875,0.719512
Macquarie_06/19/2012_17:04:23_Z.T,0.9,0.804878
Macquarie_06/19/2012_18:06:02_E.S,0.9,0.792683
Melbourne_03/08/2013_14:35:13_~,0.8,0.902439
Melbourne_03/30/2012_12:20:23_1,0.7,0.719512
Melbourne_04/03/2012_12:57:29_2,0.625,0.841463
Melbourne_04/17/2012_11:14:00_3,0.725,0.743902
Melbourne_04/17/2012_14:23:34_4,0.675,0.792683
Melbourne_04/17/2012_16:09:56_5,0.9,0.682927
Melbourne_04/17/2012_17:32:56_6,0.525,0.756098
Melbourne_04/19/2012_12:54:06_7,0.875,0.963415
Melbourne_04/19/2012_14:45:06_8,0.625,0.756098
Melbourne_04/19/2012_16:06:49_9,0.725,0.646341
Melbourne_04/24/2012_11:01:15_10,0.625,0.731707
Melbourne_04/24/2012_13:15:49_11,0.775,0.890244
Melbourne_04/24/2012_14:33:26_12,0.65,0.768293
Melbourne_04/24/2012_15:53:29_13,0.825,0.914634
Melbourne_04/24/2012_17:46:45_14,0.725,0.817073
Melbourne_04/26/2012_11:02:44_15,0.85,0.804878
Melbourne_04/26/2012_12:39:48_16,0.675,0.670732
Melbourne_04/26/2012_14:36:24_17,0.75,0.890244
Melbourne_04/26/2012_16:01:36_18,0.725,0.841463
Melbourne_04/26/2012_17:20:10_19,0.775,0.768293
Melbourne_05/01/2012_11:04:52_20,0.7,0.817073
Melbourne_05/01/2012_12:21:14_21,0.825,0.682927
Melbourne_05/01/2012_14:37:06_22,0.725,0.695122
Melbourne_05/01/2012_16:02:08_23,0.8,0.890244
Melbourne_05/01/2012_17:31:00_24,0.525,0.731707
Melbourne_05/03/2012_11:28:38_25,0.7,0.54878
Melbourne_05/03/2012_13:05:28_26,0.75,0.817073
Melbourne_05/03/2012_14:45:54_52,0.725,0.817073
Melbourne_05/03/2012_17:44:17_27,0.8,0.743902
Melbourne_05/04/2012_11:12:14_28,0.925,0.890244
Melbourne_05/04/2012_12:36:06_29,0.925,0.926829
Melbourne_05/04/2012_14:39:00_30,0.85,0.890244
Melbourne_05/04/2012_17:28:50_31,0.65,0.817073
Melbourne_05/08/2012_11:22:33_32,0.625,0.853659
Melbourne_05/08/2012_12:43:56_33,0.8,0.878049
Melbourne_05/08/2012_14:38:09_34,0.675,0.560976
Melbourne_05/08/2012_17:43:14_35,0.825,0.670732
Melbourne_05/10/2012_10:55:50_36,0.575,0.804878
Melbourne_05/10/2012_12:17:56_37,0.75,0.792683
Melbourne_05/10/2012_14:44:47_38,0.7,0.878049
Melbourne_05/10/2012_15:47:48_39,0.7,0.804878
Melbourne_05/10/2012_17:37:18_40,0.85,0.926829
Melbourne_05/11/2012_12:24:29_42,0.575,0.731707
Melbourne_05/11/2012_14:37:06_43,0.75,0.695122
Melbourne_05/11/2012_16:05:16_44,0.775,0.902439
Melbourne_05/15/2012_11:15:21_45,0.9,0.890244
Melbourne_05/15/2012_12:57:59_46,0.775,0.817073
Melbourne_05/15/2012_14:28:24_69,0.475,0.670732
Melbourne_05/17/2012_11:34:26_97,0.8,0.890244
Melbourne_05/17/2012_12:44:55_47,0.8,0.829268
Melbourne_05/17/2012_14:55:59_48,0.7,0.731707
Melbourne_05/17/2012_16:37:11_49,0.6,0.707317
Melbourne_05/18/2012_10:37:18_50,0.775,0.707317
Melbourne_05/18/2012_14:50:27_51,0.7,0.621951
Melbourne_05/18/2012_16:30:02_53,0.725,0.829268
Melbourne_05/22/2012_12:47:49_54,0.75,0.853659
Melbourne_05/22/2012_14:52:08_55,0.85,0.890244
Melbourne_05/22/2012_15:54:45_56,0.8,0.95122
Melbourne_05/22/2012_17:33:27_57,0.775,0.853659
Melbourne_05/24/2012_10:49:53_58,0.65,0.719512
Melbourne_05/24/2012_12:41:52_59,0.675,0.731707
Melbourne_05/24/2012_14:24:28_60,0.8,0.817073
Melbourne_05/24/2012_16:16:54_61,0.6,0.658537
Melbourne_05/24/2012_17:17:10_62,0.8,0.780488
Melbourne_05/25/2012_12:30:08_63,0.6,0.853659
Melbourne_05/25/2012_16:19:11_64,0.625,0.829268
Nebraska_02/12/2013_11:58:07_~,0.75,0.670732
Nebraska_02/12/2013_11:58:43_~,0.675,0.817073
Nebraska_02/12/2013_12:53:06_~,0.85,0.829268
Nebraska_02/12/2013_13:18:59_~,0.45,0.54878
Nebraska_02/14/2013_12:31:19_~,0.75,0.743902
Nebraska_02/15/2013_13:01:26_~,0.7,0.670732
Nebraska_02/19/2013_13:37:11_~,0.525,0.731707
Nebraska_02/26/2013_13:46:34_~,0.65,0.695122
Nebraska_02/26/2013_13:47:30_~,0.575,0.682927
Nebraska_02/28/2013_11:59:09_~,0.75,0.719512
Nebraska_02/28/2013_12:05:44_~,0.475,0.621951
Nebraska_02/28/2013_14:03:39_~,0.85,0.609756
Nebraska_02/28/2013_14:14:30_~,0.6,0.54878
Nebraska_03/01/2013_12:55:55_~,0.65,0.804878
Nebraska_03/01/2013_12:58:57_~,0.7,0.890244
Nebraska_03/01/2013_13:52:29_~,0.35,0.670732
Nebraska_03/05/2013_13:01:36_~,0.75,0.829268
Nebraska_03/08/2013_11:51:09_~,0.825,0.804878
Nebraska_03/08/2013_11:54:44_~,0.55,0.573171
Nebraska_03/08/2013_13:01:16_~,0.65,0.695122
Nebraska_03/08/2013_13:45:17_~,0.7,0.865854
Nebraska_03/08/2013_13:49:31_~,0.55,0.426829
Nebraska_03/12/2013_12:57:52_~,0.775,0.682927
Nebraska_03/13/2013_11:50:33_~,0.725,0.646341
Nebraska_03/14/2013_13:21:30_~,0.875,0.853659
