targetNum,lexStatus,target,prime_cond1,prime_cond2,prime_cond3,prime_cond4,prime_cond5,prime_cond6,prime_cond7,prime_cond8,prime_cond9,prime_cond10,prime_cond11,prime_cond12,prime_cond13,prime_cond14,prime_cond15,prime_cond16,prime_cond17,prime_cond18,prime_cond19,prime_cond20,prime_cond21,prime_cond22,prime_cond23,prime_cond24,prime_cond25,prime_cond26,prime_cond27,prime_cond28
175,1,INFECT,infect,nifect,infcet,infetc,iefnct,icfent,inect,infec,inct,nieftc,ectinf,ect,fnitce,eicntf,itcefn,qnfect,infdct,infecw,inhfct,ingmct,infvect,infwuect,ipuyvt,xinfect,infectd,infssect,baxqys,subryo
176,1,INFORM,inform,niform,infrom,infomr,inrofm,irfonm,inorm,infor,inrm,niofmr,orminf,inf,fnimro,oirnmf,imrofn,qnform,infoym,infore,ifaorm,inyqrm,infdorm,infhtorm,icjalm,zinform,informx,infwworm,wtbsad,shable
177,1,INHALE,inhale,nihale,ihnale,inhael,iahnle,ilhane,ihale,inhal,inle,niahel,aleinh,inh,hniela,ailneh,ielahn,cnhale,ikhale,inhalq,inaqle,infple,inhvale,inhxbale,ifmvje,qinhale,inhalej,inhssale,tcksmb,scroup
178,1,INJECT,inject,niject,ijnect,injetc,iejnct,icjent,injct,injec,inct,niejtc,ectinj,inj,jnitce,eicntj,itcejn,mnject,izject,injecv,inkjct,ingfct,injfect,injzvect,iaflvt,dinject,injectm,injqqect,lzosxb,shrald
179,1,INSECT,insect,nisect,inscet,insetc,iesnct,icsent,isect,insec,inct,niestc,ectins,ect,snitce,eicnts,itcesn,ansect,insegt,insecr,inekct,inrdct,inslect,insayect,idgbqt,hinsect,insectr,insllect,mohgbp,umpora
180,1,INSERT,insert,nisert,insret,insetr,inrest,irsent,isert,inser,inrt,niestr,ertins,ins,snitre,eirnts,itresn,xnsert,ixsert,inserz,insmet,inwart,insgert,insozert,iyhwbt,pinsert,inserta,insaaert,ykazlu,vomphy
181,1,INSULT,insult,nisult,isnult,insutl,iusnlt,ilsunt,inult,insul,inlt,niustl,ultins,ins,snitlu,uilnts,itlusn,znsult,injult,insuly,inqslt,inpqlt,insyult,insbmult,izkjrt,vinsult,insultg,insggult,aczogk,gabryo
182,1,INTAKE,intake,nitake,intkae,intaek,inkate,iktane,intke,intak,inke,niatek,akeint,ake,tnieka,aiknet,iekatn,xntake,intoke,intaky,inafke,injcke,intmake,intdyake,ibuwde,gintake,intakew,intjjake,cvrzjq,spurch
183,1,INVADE,invade,nivade,invdae,invaed,indave,idvane,ivade,invad,inde,niaved,adeinv,ade,vnieda,aidnev,iedavn,znvade,ijvade,invadr,ivlade,inmrde,invsade,invbuade,iotqye,pinvade,invadet,invllade,jtzuhb,scough
184,1,INVERT,invert,nivert,inevrt,invetr,ievnrt,irvent,invrt,inver,inrt,nievtr,ertinv,ert,vnitre,eirntv,itrevn,lnvert,invekt,inverk,inyvrt,inlgrt,invuert,invhzert,iwzsmt,xinvert,invertg,invllert,pgqkjc,jalody
185,1,INVEST,invest,nivest,inevst,invets,ievnst,isvent,invet,inves,inst,nievts,estinv,est,vnitse,eisntv,itsevn,cnvest,inoest,invesc,ivdest,inobst,invmest,invqyest,iwzdct,ainvest,investu,invjjest,dgzbra,opacum
186,1,INVOKE,invoke,nivoke,inovke,invoek,iovnke,ikvone,inoke,invok,inke,niovek,okeinv,oke,vnieko,oiknev,iekovn,unvoke,isvoke,invokh,invfoe,infcke,invtoke,invjdoke,igahfe,xinvoke,invokeh,invqqoke,pwzrhg,thrawl
187,1,ISLAND,island,siland,ilsand,isladn,ialsnd,inlasd,islad,islan,isnd,sialdn,andisl,isl,lsidna,ainsdl,idnals,csland,islxnd,islanq,islgad,ismtnd,isluand,islrzand,izbtwd,eisland,islandz,isleeand,vxgfqr,becort
188,1,JARGON,jargon,ajrgon,jragon,jargno,jaogrn,jorgan,jargn,jargo,jaon,ajgrno,gonjar,gon,rajnog,gjoanr,jnogra,xargon,jmrgon,jargom,jartgn,jaclon,jarcgon,jartugon,jhifen,ljargon,jargony,jarttgon,htvfid,imbesh
189,1,JINGLE,jingle,ijngle,jignle,jingel,jilgne,jlngie,jinge,jingl,jile,ijgnel,glejin,gle,nijelg,gjlien,jelgni,yingle,jingze,jinglo,jnrgle,jirble,jinygle,jincwgle,jyqhxe,pjingle,jinglev,jinhhgle,mhxazb,ambort
190,1,JOCKEY,jockey,ojckey,joceky,jockye,jkcoey,jeckoy,jokey,jocke,joey,ojkcye,keyjoc,joc,cojyek,kjeoyc,jyekco,iockey,jpckey,jockeu,jochky,jolrey,jocgkey,joctskey,jguafy,ijockey,jockeyr,jocddkey,shftmr,quitar
191,1,JUMBLE,jumble,ujmble,jmuble,jumbel,jbmule,jlmbue,jumbe,jumbl,jule,ujbmel,blejum,ble,mujelb,bjluem,jelbmu,iumble,jutble,jumblq,juqmle,juhple,jumqble,jumywble,jsayge,rjumble,jumblev,jumssble,zxkips,tropid
192,1,JUNGLE,jungle,ujngle,junlge,jungel,jgnule,jlngue,junle,jungl,jule,ujgnel,glejun,gle,nujelg,gjluen,jelgnu,zungle,jpngle,junglo,jusnle,jufhle,junpgle,junmxgle,jrozke,cjungle,jungler,junffgle,zywbro,aspich
193,1,JUNIOR,junior,ujnior,juinor,juniro,jinuor,joniur,junor,junio,juor,ujinro,iorjun,ior,nujroi,ijourn,jroinu,munior,jznior,junioz,junpir,juvbor,junsior,junghior,jywakr,tjunior,juniory,junkkior,ympqha,daplem
194,1,KIDNEY,kidney,ikdney,kdiney,kidnye,kiendy,kedniy,kidey,kidne,kiey,ikndye,neykid,ney,dikyen,nkeiyd,kyendi,sidney,kidjey,kidnej,kinfey,kizjey,kidwney,kidrzney,krgphy,ckidney,kidneyq,kidjjney,wqsrao,orphus
195,1,KNIGHT,knight,nkight,kinght,knigth,kginht,khignt,knigt,knigh,knht,nkgith,ghtkni,kni,inkthg,gkhnti,kthgin,rnight,knigrt,knighx,kniogt,knyfht,knisght,kniwsght,kfqeyt,qknight,knightv,knissght,jfumxp,spocer
196,1,KOSHER,kosher,oksher,kosehr,koshre,khsoer,keshor,ksher,koshe,koer,okhsre,herkos,kos,sokreh,hkeors,krehso,wosher,kxsher,koshev,kowser,koiuer,kosfher,kosbaher,kztgfr,jkosher,kosherl,kosaaher,wcduml,mudint
197,1,LAMENT,lament,alment,laemnt,lametn,lemant,lnmeat,lment,lamen,lant,alemtn,entlam,ent,maltne,elnatm,ltnema,zament,lamsnt,lamenw,lamret,lauwnt,lamuent,lamcbent,ljdcit,xlament,lamenti,lamhhent,zwicyu,foupid
198,1,LAUNCH,launch,alunch,lanuch,launhc,lnuach,lcunah,lauch,launc,lach,alnuhc,nchlau,lau,ualhcn,nlcahu,lhcnua,oaunch,lasnch,launct,lanpch,lamwch,lautnch,laueinch,lqbmeh,rlaunch,launchm,laummnch,pjtdfq,empors
199,1,LIMBER,limber,ilmber,lmiber,limbre,liebmr,lembir,limbr,limbe,lier,ilbmre,berlim,ber,milreb,bleirm,lrebmi,jimber,lihber,limbew,lmdber,lisver,limaber,limxgber,lftkor,ulimber,limberp,limaaber,nujpcw,anchts
200,1,LINGER,linger,ilnger,lniger,lingre,lgnier,lengir,liger,linge,lier,ilgnre,gerlin,lin,nilreg,gleirn,lregni,vinger,lfnger,lingec,lnwger,lizter,linsger,linfwger,lmsfvr,blinger,lingerq,linccger,fbwajh,fascot
201,1,LIQUOR,liquor,ilquor,lqiuor,liquro,luqior,loquir,liuor,liquo,lior,iluqro,uorliq,uor,qilrou,uloirq,lrouqi,kiquor,liqujr,liquov,linqor,libjor,liqpuor,liqdbuor,lwxfsr,eliquor,liquorh,liqnnuor,fcazhb,jacent
202,1,LIZARD,lizard,ilzard,liazrd,lizadr,lazird,lrzaid,liard,lizar,lird,ilazdr,ardliz,ard,zildra,alridz,ldrazi,qizard,lizprd,lizaru,lzoard,lifurd,lizgard,lizvgard,lcbgtd,olizard,lizardx,lizuuard,ukpgqh,yonest
203,1,LOCATE,locate,olcate,lcoate,locaet,lacote,ltcaoe,lcate,locat,lote,olacet,ateloc,loc,coleta,altoec,letaco,zocate,lonate,locatr,lopcte,lorute,locsate,locwyate,lisnhe,qlocate,locatei,locvvate,vwqzxi,brighs
204,1,DRENCH,drench,rdench,drnech,drenhc,drcneh,dcenrh,dench,drenc,drch,rdnehc,nchdre,dre,erdhcn,ndcrhe,dhcner,grench,dbench,drencw,drejnh,drazch,dresnch,dreuanch,dxtqkh,sdrench,drenchs,dressnch,pkoflx,aistom
205,1,LOUNGE,lounge,olunge,luonge,louneg,lnuoge,lgunoe,longe,loung,loge,olnueg,ngelou,lou,uolegn,nlgoeu,legnuo,counge,loukge,loungm,lucnge,locdge,louvnge,louasnge,lspcae,vlounge,loungek,louccnge,xmzbkc,dwarch
206,1,LUMBER,lumber,ulmber,lumebr,lumbre,lbmuer,lembur,luber,lumbe,luer,ulbmre,berlum,ber,mulreb,bleurm,lrebmu,oumber,lumaer,lumbed,lumobr,luiaer,lumhber,lumjnber,lvqcnr,jlumber,lumberh,lumzzber,vagoyt,catinx
207,1,MARKET,market,amrket,makret,markte,maekrt,merkat,maket,marke,maet,amkrte,ketmar,ket,ramtek,kmeatr,mtekra,darket,maryet,markel,mrdket,mawjet,margket,marpiket,mjciqt,lmarket,marketw,marffket,dnovci,dilong
208,1,MARVEL,marvel,amrvel,mavrel,marvle,maevrl,merval,mrvel,marve,mael,amvrle,velmar,vel,ramlev,vmealr,mlevra,carvel,mzrvel,marvex,maprel,masfel,maryvel,mariyvel,mhpswl,jmarvel,marvelg,marbbvel,wusdxo,tickup
209,1,MASCOT,mascot,amscot,macsot,mascto,maocst,moscat,masot,masco,maot,amcsto,cotmas,mas,samtoc,cmoats,mtocsa,lascot,mjscot,mascoi,mazsot,malkot,mashcot,masbvcot,mkynwt,dmascot,mascotf,masppcot,wgxqek,debrin
210,1,MASTER,master,amster,msater,mastre,maetsr,mestar,mster,maste,maer,amtsre,termas,mas,samret,tmears,mretsa,uaster,mavter,masteu,msdter,malwer,masbter,maswcter,mizhnr,jmaster,masterl,masvvter,wzqkvh,fichop
211,1,MATRIX,matrix,amtrix,mtarix,matrxi,mairtx,mitrax,matrx,matri,maix,amrtxi,rixmat,rix,tamxir,rmiaxt,mxirta,oatrix,maurix,matrij,mtdrix,mahzix,mathrix,matswrix,mjolyx,ematrix,matrixn,matjjrix,qynckl,ulcend
212,1,MEASLY,measly,emasly,maesly,measyl,msaely,mlasey,measy,measl,mely,emsayl,slymea,mea,aemyls,smleya,mylsae,heasly,mpasly,measli,meualy,metxly,meahsly,meahqsly,mfrxty,zmeasly,measlyn,meaffsly,kqjitn,unight
213,1,MELODY,melody,emlody,meldoy,meloyd,medoly,mdloey,meody,melod,medy,emolyd,odymel,mel,lemydo,omdeyl,mydole,helody,meloay,melodb,mekldy,metkdy,melbody,melcrody,mfjkcy,hmelody,melodyp,meliiody,vqjwih,nubric
214,1,MILDEW,mildew,imldew,midlew,mildwe,miedlw,meldiw,midew,milde,miew,imdlwe,dewmil,mil,limwed,dmeiwl,mwedli,tildew,mildqw,mildep,miglew,miauew,milodew,milaodew,mskpuw,cmildew,mildewv,milkkdew,furqht,fabryo
215,1,MIRAGE,mirage,imrage,mirgae,miraeg,migare,mgraie,mirge,mirag,mige,imareg,agemir,mir,rimega,amgier,megari,dirage,miraye,miragv,mrdage,miudge,mirbage,mirynage,mhnwbe,cmirage,miragew,mirvvage,lxdtwy,whound
216,1,MISTER,mister,imster,msiter,mistre,mtsier,mestir,mistr,miste,mier,imtsre,termis,mis,simret,tmeirs,mretsi,qister,mvster,mistej,mibser,mixder,miszter,misahter,mdbnvr,bmister,misterk,misbbter,fuzawc,ulcond
217,1,MONKEY,monkey,omnkey,mnokey,monkye,mknoey,menkoy,monky,monke,moey,omknye,keymon,mon,nomyek,kmeoyn,myekno,aonkey,moukey,monked,mnjkey,mojbey,monskey,monjckey,mflbsy,qmonkey,monkeyg,monaakey,uhlxjr,fabrix
218,1,MORBID,morbid,omrbid,mobrid,morbdi,mbroid,mirbod,mrbid,morbi,moid,ombrdi,bidmor,mor,romdib,bmiodr,mdibro,zorbid,morfid,morbie,monrid,mougid,morlbid,morujbid,mjwnhd,cmorbid,morbidt,moruubid,plnave,necalf
219,1,MORGUE,morgue,omrgue,mrogue,morgeu,mgroue,murgoe,morue,morgu,moue,omgreu,guemor,mor,romeug,gmuoer,meugro,torgue,morgxe,morguc,mrngue,moshue,morygue,morhague,mfxvie,pmorgue,morguev,morkkgue,laqdpb,intach
220,1,MORSEL,morsel,omrsel,mosrel,morsle,moesrl,mersol,morsl,morse,moel,omsrle,selmor,sel,romles,smeolr,mlesro,iorsel,monsel,morsej,morxsl,mopvel,morgsel,morzfsel,mfbdul,qmorsel,morsely,morjjsel,akgbty,dutaic
221,1,MORTAL,mortal,omrtal,mrotal,mortla,moatrl,martol,motal,morta,moal,omtrla,talmor,mor,romlat,tmaolr,mlatro,cortal,moqtal,mortah,moretl,mofqal,moretal,morudtal,mgsxyl,emortal,mortalz,moryytal,ghuyfw,kindew
222,1,MOSAIC,mosaic,omsaic,mosiac,mosaci,moiasc,misaoc,msaic,mosai,moic,omasci,aicmos,mos,somcia,amiocs,mciaso,bosaic,mysaic,mosaih,moysic,moplic,moslaic,moskwaic,mqvbhc,zmosaic,mosaicd,mosllaic,uvqwjg,wrenty
223,1,MOSQUE,mosque,omsque,msoque,mosqeu,mouqse,musqoe,mosqe,mosqu,moue,omqseu,quemos,que,someuq,qmuoes,meuqso,gosque,mosqae,mosqud,moqtue,moriue,mosrque,mosjnque,mgzrxe,hmosque,mosquea,mosccque,knfyjg,driath
224,1,MOTHER,mother,omther,mtoher,mothre,moehtr,methor,moher,mothe,moer,omhtre,hermot,mot,tomreh,hmeort,mrehto,jother,mlther,mothew,motjhr,movzer,motaher,motjsher,mypvir,cmother,motherg,motvvher,gvfbjp,lanius
225,1,MUSKET,musket,umsket,musekt,muskte,mksuet,meskut,msket,muske,muet,umkste,ketmus,ket,sumtek,kmeuts,mteksu,ousket,musjet,muskeq,mucset,mugoet,musqket,musinket,mqfadt,fmusket,musketw,mushhket,zncgad,blinco
226,1,MUSTER,muster,umster,musetr,mustre,mtsuer,mestur,mster,muste,muer,umtsre,termus,ter,sumret,tmeurs,mretsu,auster,mustlr,mustel,musftr,muxoer,musiter,muswvter,mkldyr,cmuster,musterp,muskkter,bqxhyw,vackon
227,1,MUTINY,mutiny,umtiny,mutniy,mutiyn,mituny,mntiuy,mutny,mutin,muny,umityn,inymut,iny,tumyni,imnuyt,mynitu,dutiny,mutiby,mutinv,muxtny,mudgny,muteiny,mutbviny,mbkfey,amutiny,mutinyj,mutcciny,ejovpq,oblace
228,1,MYSTIC,mystic,ymstic,mytsic,mystci,mtsyic,mistyc,mysic,mysti,myic,ymtsci,ticmys,mys,symcit,tmiycs,mcitsy,gystic,mystlc,mystix,msptic,myenic,myswtic,mysubtic,mjpnhc,gmystic,mysticu,mysvvtic,jnazvd,dabern
229,1,NATURE,nature,anture,ntaure,natuer,narute,nrtuae,naure,natur,nare,anuter,urenat,nat,taneru,unraet,neruta,pature,nhture,naturs,naztre,nafsre,natcure,natbhure,ngxope,ynature,naturey,natppure,cbjgmv,blighs
230,1,NICKEL,nickel,inckel,ncikel,nickle,nkciel,neckil,nicel,nicke,niel,inkcle,kelnic,nic,cinlek,kneilc,nlekci,fickel,nickul,nicket,nimcel,nixrel,nicpkel,nicfvkel,nmftxl,dnickel,nickelh,nicqqkel,pjqvfz,justor
231,1,NIMBLE,nimble,inmble,nibmle,nimbel,nbmile,nlmbie,nible,nimbl,nile,inbmel,blenim,nim,minelb,bnliem,nelbmi,cimble,nimole,nimblw,nimabe,niaqle,nimyble,nimsfble,nduhoe,pnimble,nimbles,nimffble,rdszxf,aurost
232,1,NOVICE,novice,onvice,noivce,noviec,nivoce,ncvioe,noice,novic,noce,onivec,icenov,nov,voneci,incoev,necivo,sovice,novibe,novicy,noijce,noysce,novsice,novqkice,njhgde,pnovice,novicew,novmmice,gptzas,argush
233,1,NUMBER,number,unmber,nubmer,numbre,nuebmr,nembur,nmber,numbe,nuer,unbmre,bernum,ber,munreb,bneurm,nrebmu,pumber,numblr,numbek,nuqmer,nuyter,numtber,numtzber,nvwkgr,hnumber,numberk,numwwber,tkiqcj,citaks
234,1,NUTMEG,nutmeg,untmeg,nutemg,nutmge,nuemtg,netmug,numeg,nutme,nueg,unmtge,megnut,meg,tungem,mneugt,ngemtu,jutmeg,nurmeg,nutmep,ntcmeg,nufleg,nutqmeg,nutokmeg,njidxg,hnutmeg,nutmegz,nutiimeg,dqjvbc,chroad
235,1,OBJECT,object,boject,ojbect,objetc,oejbct,ocjebt,obect,objec,obct,boejtc,ectobj,ect,jbotce,eocbtj,otcejb,zbject,obsect,objecf,objnet,obxsct,objzect,objlwect,ozdkyt,wobject,objectl,objyyect,auhgzx,admils
236,1,OBLIGE,oblige,bolige,olbige,oblieg,obgile,oglibe,obige,oblig,obge,boileg,igeobl,ige,lboegi,iogbel,oegilb,vblige,oulige,obligj,obivge,obkwge,oblzige,oblrkige,ocrnme,poblige,obligej,oblttige,hdsmaj,trachy
237,1,OBTAIN,obtain,botain,obatin,obtani,oatbin,oitabn,obtan,obtai,obin,boatni,ainobt,ain,tbonia,aoibnt,oniatb,ybtain,oytain,obtais,obthan,obvrin,obtjain,obtrxain,olwekn,uobtain,obtainj,obtxxain,hejcpv,glerch
238,1,OPAQUE,opaque,poaque,opqaue,opaqeu,opuqae,ouaqpe,oaque,opaqu,opue,poqaeu,queopa,opa,apoeuq,qoupea,oeuqap,dpaque,opavue,opaqui,opwaue,opsiue,opajque,opafzque,ovgdte,xopaque,opaqued,opaccque,wjrvtg,dright
239,1,ORACLE,oracle,roacle,orcale,oracel,orlcae,olacre,orale,oracl,orle,rocael,cleora,ora,aroelc,colrea,oelcar,bracle,orxcle,oraclt,orcmle,orygle,orafcle,oraivcle,okhqpe,noracle,oracleg,oraggcle,btjmnq,budint
240,1,ORANGE,orange,roange,oragne,oraneg,onarge,oganre,orane,orang,orge,ronaeg,ngeora,ora,aroegn,nogrea,oegnar,frange,oranpe,orangb,ornmge,orpkge,oracnge,oraytnge,otdwze,uorange,orangew,oraxxnge,cvufds,musict
241,1,ORCHID,orchid,rochid,orhcid,orchdi,ohcrid,oichrd,orchd,orchi,orid,rohcdi,hidorc,orc,crodih,hoirdc,odihcr,grchid,orchld,orchin,orhjid,orwxid,orcfhid,orcaqhid,onzupd,norchid,orchidl,orcxxhid,tyxpws,sketal
242,1,ORGASM,orgasm,rogasm,oragsm,orgams,orsagm,osgarm,orgsm,orgas,orsm,roagms,asmorg,asm,gromsa,aosrmg,omsagr,nrgasm,orgtsm,orgash,orgdam,oruvsm,orgyasm,orgpvasm,ojvldm,zorgasm,orgasmh,orgnnasm,uphizv,telpic
243,1,ORIENT,orient,roient,oreint,orietn,oeirnt,oniert,oriet,orien,ornt,roeitn,entori,ori,irotne,eonrti,otneir,mrient,oriect,orienj,origet,orkgnt,orihent,orizpent,oplbmt,korient,orientc,orijjent,jcykdf,culgas
244,1,ORPHAN,orphan,rophan,orhpan,orphna,ohpran,oaphrn,orphn,orpha,oran,rohpna,hanorp,han,pronah,hoarnp,onahpr,drphan,osphan,orphag,orhqan,orvdan,orpwhan,orpcghan,obfcvn,vorphan,orphanw,orpjjhan,vgjfml,gilked
245,1,OYSTER,oyster,yoster,oysetr,oystre,otsyer,oestyr,oyser,oyste,oyer,yotsre,teroys,ter,syoret,toeyrs,oretsy,hyster,olster,oystez,oytqer,oyiger,oysbter,oyspmter,ocdair,qoyster,oysterd,oysbbter,bqfjcv,unchid
246,1,PARCEL,parcel,aprcel,pacrel,parcle,pcrael,percal,pacel,parce,pael,apcrle,celpar,cel,raplec,cpealr,plecra,qarcel,pbrcel,parcey,pacxel,paoxel,parwcel,parhfcel,pjumyl,qparcel,parcelv,parsscel,fdbswx,quoinx
247,1,PARISH,parish,aprish,parsih,parihs,pasirh,psriah,parsh,paris,pash,apirhs,ishpar,ish,raphsi,ipsahr,phsira,oarish,pazish,parisz,paroih,pawdsh,parzish,paruoish,pgnkwh,zparish,parishz,parddish,vdeowu,leduct
248,1,PARODY,parody,aprody,paordy,paroyd,porady,pdroay,prody,parod,pady,aporyd,odypar,ody,rapydo,opdayr,pydora,zarody,paroky,parodt,paerdy,pakwdy,partody,parikody,pukmby,xparody,parodyx,parggody,zicgjb,citles
249,1,PASTOR,pastor,apstor,psator,pastro,ptsaor,postar,pstor,pasto,paor,aptsro,torpas,pas,saprot,tpoars,protsa,yastor,pawtor,pastoq,pansor,paekor,paswtor,pasuetor,pfxgzr,upastor,pastorx,pasmmtor,zxejul,unfech
250,1,PASTRY,pastry,apstry,psatry,pastyr,ptsary,prstay,pstry,pastr,pary,aptsyr,trypas,pas,sapyrt,tprays,pyrtsa,qastry,paskry,pastrb,pasdty,palhry,pasvtry,pasxctry,pdjocy,npastry,pastryl,paseetry,nwuzim,jildom
251,1,PATROL,patrol,aptrol,partol,patrlo,paortl,potral,patol,patro,paol,aprtlo,rolpat,rol,taplor,rpoalt,plorta,fatrol,pamrol,patrow,patwrl,paseol,patqrol,patdzrol,pfmbzl,spatrol,patrolq,patnnrol,ynkcbf,ensigh
252,1,PATRON,patron,aptron,parton,patrno,paortn,potran,paron,patro,paon,aprtno,ronpat,ron,tapnor,rpoant,pnorta,gatron,paxron,patroq,paeton,pajuon,pateron,patvfron,pycgbn,cpatron,patronv,patllron,lgvewb,exudic
253,1,PELVIS,pelvis,eplvis,pevlis,pelvsi,peivls,pilves,plvis,pelvi,peis,epvlsi,vispel,pel,lepsiv,vpiesl,psivle,gelvis,pelhis,pelvin,pelzvs,peuais,pelcvis,peldovis,prxtns,dpelvis,pelvisr,peluuvis,otbauy,tabryo
254,1,PENCIL,pencil,epncil,penicl,pencli,pcneil,pincel,pncil,penci,peil,epcnli,cilpen,cil,neplic,cpieln,plicne,qencil,pescil,penciz,pecqil,peadil,penfcil,penahcil,pdztjl,apencil,pencilm,penggcil,rbdfwq,jabryo
255,1,PERIOD,period,epriod,peroid,perido,pireod,poried,priod,perio,peod,epirdo,iodper,iod,repdoi,ipoedr,pdoire,aeriod,perkod,periov,perqid,pemwod,peryiod,perjqiod,phjnad,uperiod,periody,pernniod,qmfjcu,gualth
256,1,PERMIT,permit,eprmit,perimt,permti,pmreit,pirmet,prmit,permi,peit,epmrti,mitper,mit,reptim,mpietr,ptimre,dermit,pkrmit,permiy,prcmit,pezxit,perjmit,pernymit,pbdkyt,xpermit,permitb,perzzmit,jlxfyb,chands
257,1,PETROL,petrol,eptrol,pterol,petrlo,prteol,potrel,ptrol,petro,peol,eprtlo,rolpet,rol,teplor,rpoelt,plorte,vetrol,pegrol,petroa,petxrl,pewhol,peturol,petnqrol,pimkjl,dpetrol,petrola,petzzrol,buhsnk,vainch
258,1,PHOBIA,phobia,hpobia,phboia,phobai,pbohia,piobha,phoba,phobi,phia,hpboai,biapho,bia,ohpaib,bpihao,paiboh,lhobia,pwobia,phobil,photba,phntia,phoqbia,phonmbia,pdmsra,nphobia,phobiae,phoeebia,yqmgrc,gremly
259,1,PHRASE,phrase,hprase,pharse,phraes,parhse,psrahe,phrae,phras,phse,hpares,asephr,ase,rhpesa,apsher,pesarh,ghrase,phrale,phrasc,phrmae,phfmse,phrcase,phrgzase,ponwde,wphrase,phrasev,phrbbase,ymkfwc,bickon
260,1,PICKET,picket,ipcket,pikcet,pickte,pkciet,peckit,pcket,picke,piet,ipkcte,ketpic,pic,ciptek,kpeitc,ptekci,gicket,pncket,pickef,pcoket,piaset,picrket,picdzket,prsnyt,apicket,picketv,piczzket,hlrwds,faldom
261,1,PIRATE,pirate,iprate,pirtae,piraet,parite,ptraie,prate,pirat,pite,iparet,atepir,pir,ripeta,aptier,petari,lirate,pirste,piratq,pirgae,pinwte,pirlate,pirdoate,pmwfve,xpirate,pirateh,pirffate,nqdbgx,wobumn
262,1,PISTOL,pistol,ipstol,pitsol,pistlo,ptsiol,postil,pisol,pisto,piol,iptslo,tolpis,tol,siplot,tpoils,plotsi,jistol,pisrol,pistog,psmtol,pieuol,pisutol,pisfrtol,pzcgal,vpistol,pistolm,pisggtol,wrkaxq,magern
263,1,PLACID,placid,lpacid,palcid,placdi,plicad,piacld,plcid,placi,plid,lpcadi,cidpla,cid,alpdic,cpilda,pdical,flacid,phacid,placiq,plsaid,plohid,plajcid,plazncid,pxzvqd,rplacid,placidx,plabbcid,xuqmft,fobumn
264,1,PLAGUE,plague,lpague,plgaue,plageu,pgalue,puagle,plgue,plagu,plue,lpgaeu,guepla,pla,alpeug,gpulea,peugal,vlague,plcgue,plagun,plwaue,plbfue,plaogue,plahbgue,pnczme,yplague,plagueq,planngue,ytfbxn,mishod
265,1,PLAQUE,plaque,lpaque,plauqe,plaqeu,pqalue,puaqle,plaue,plaqu,plue,lpqaeu,quepla,pla,alpeuq,qpulea,peuqal,olaque,plawue,plaquy,plkaue,plzrue,planque,plagsque,pomhve,nplaque,plaquey,playyque,frgokb,richon
266,1,PLENTY,plenty,lpenty,pelnty,plenyt,pltney,ptenly,pleny,plent,plty,lpneyt,ntyple,ple,elpytn,nptlye,pytnel,hlenty,plewty,plentu,plevny,plhkty,plevnty,plebmnty,phifvy,uplenty,plentyr,plemmnty,dvckoz,marbis
267,1,PLUNGE,plunge,lpunge,pulnge,pluneg,plgnue,pgunle,plune,plung,plge,lpnueg,ngeplu,plu,ulpegn,npgleu,pegnul,ilunge,phunge,plungz,plnsge,plsvge,pluznge,plutinge,pcaqhe,vplunge,plunget,pluqqnge,osjfwy,biasch
268,1,POLICE,police,oplice,polcie,poliec,piloce,pclioe,polie,polic,poce,opilec,icepol,pol,lopeci,ipcoel,pecilo,dolice,prlice,policw,polkie,porsce,polwice,polzuice,pwqsbe,xpolice,policef,polqqice,rmtudb,dynark
269,1,POLICY,policy,oplicy,poilcy,poliyc,pilocy,pclioy,plicy,polic,pocy,opilyc,icypol,pol,lopyci,ipcoyl,pycilo,volicy,pojicy,policb,poiqcy,ponfcy,polwicy,polthicy,prhmdy,apolicy,policyj,polhhicy,uabvhw,trabes
270,1,POLITE,polite,oplite,poilte,poliet,pilote,ptlioe,polie,polit,pote,opilet,itepol,pol,lopeti,iptoel,petilo,volite,pocite,politm,pomlte,pohzte,polwite,polxwite,pzmwve,spolite,politex,polkkite,mgkwqf,murand
271,1,PONDER,ponder,opnder,ponedr,pondre,pdnoer,pendor,pondr,ponde,poer,opdnre,derpon,der,nopred,dpeorn,predno,zonder,pjnder,pondes,pnuder,poiler,ponyder,ponwvder,pahgyr,bponder,ponderg,ponllder,juvgax,quaich
272,1,PORTAL,portal,oprtal,protal,portla,poatrl,partol,poral,porta,poal,optrla,talpor,por,roplat,tpaolr,platro,hortal,portel,portae,posral,pouhal,porztal,porwytal,phnyil,uportal,portalg,porcctal,unqwzm,becish
273,1,POSTER,poster,opster,posetr,postre,poetsr,pestor,poter,poste,poer,optsre,terpos,ter,sopret,tpeors,pretso,voster,pozter,postez,posvtr,polber,posuter,poshater,puldjr,vposter,posterk,posqqter,bhxcaz,unhald
274,1,POUNCE,pounce,opunce,ponuce,pounec,pnuoce,pcunoe,punce,pounc,poce,opnuec,ncepou,pou,uopecn,npcoeu,pecnuo,xounce,pouace,pouncq,pubnce,poakce,pournce,pouyznce,pqgzke,ypounce,pouncez,poubbnce,rijvth,gradly
275,1,POWDER,powder,opwder,pwoder,powdre,poedwr,pewdor,powdr,powde,poer,opdwre,derpow,der,wopred,dpeorw,predwo,xowder,powdar,powdef,pocwer,poujer,powyder,powcnder,ptymxr,lpowder,powdera,powaader,zushgn,yanish
