targetNum,lexStatus,target,prime_cond1,prime_cond2,prime_cond3,prime_cond4,prime_cond5,prime_cond6,prime_cond7,prime_cond8,prime_cond9,prime_cond10,prime_cond11,prime_cond12,prime_cond13,prime_cond14,prime_cond15,prime_cond16,prime_cond17,prime_cond18,prime_cond19,prime_cond20,prime_cond21,prime_cond22,prime_cond23,prime_cond24,prime_cond25,prime_cond26,prime_cond27,prime_cond28
11,1,ALMOND,almond,lamond,amlond,almodn,aomlnd,anmold,alond,almon,alnd,laomdn,ondalm,ond,mladno,oanldm,adnoml,rlmond,almynd,almonw,amuond,alxwnd,almeond,almhwond,awherd,salmond,almondp,almyyond,wpfriy,juitch
12,1,ALMOST,almost,lamost,almsot,almots,aomlst,asmolt,almot,almos,alst,laomts,ostalm,alm,mlatso,oasltm,atsoml,vlmost,aemost,almosj,alimst,alikst,almrost,almpgost,adbcqt,jalmost,almosth,almbbost,qkvpxf,gibern
13,1,AMBUSH,ambush,mabush,amubsh,ambuhs,aubmsh,asbumh,ambuh,ambus,amsh,maubhs,ushamb,ush,bmahsu,uasmhb,ahsubm,imbush,acbush,ambusg,amrbsh,amqnsh,ambfush,ambolush,avkgih,qambush,ambushz,ambttush,nydoqw,nectol
14,1,AMOUNT,amount,maount,amonut,amoutn,auomnt,anoumt,amunt,amoun,amnt,mauotn,untamo,amo,omatnu,uanmto,atnuom,imount,amdunt,amounc,aosunt,amzsnt,amofunt,amowcunt,acjhrt,vamount,amountd,amollunt,gqfjli,swerch
15,1,ANCHOR,anchor,nachor,acnhor,anchro,ahcnor,aochnr,anchr,ancho,anor,nahcro,horanc,anc,cnaroh,haonrc,arohcn,bnchor,anchlr,anchod,acphor,anxmor,ancehor,ancpqhor,apgvbr,yanchor,anchore,anceehor,efuqbl,tulige
16,1,ANSWER,answer,naswer,asnwer,answre,anewsr,aeswnr,anser,answe,aner,nawsre,werans,wer,snarew,waenrs,arewsn,mnswer,afswer,answei,anwuer,anvier,ansfwer,ansfpwer,acufkr,ianswer,answerl,ansvvwer,zjycgu,thobic
17,1,ANTICS,antics,natics,anitcs,antisc,aitncs,actins,anics,antic,ancs,naitsc,icsant,ics,tnasci,iacnst,ascitn,gntics,antijs,anticj,anhtcs,anxrcs,antvics,antqvics,aurdbs,rantics,anticse,antffics,dgfoxv,mergly
18,1,ASCEND,ascend,sacend,ascned,ascedn,asnecd,ancesd,acend,ascen,asnd,saecdn,endasc,asc,csadne,eansdc,adnecs,qscend,ashend,ascenw,asicnd,asixnd,ascvend,ascrxend,akwotd,yascend,ascendg,ascllend,yhtmwu,thilow
19,1,ASCENT,ascent,sacent,asecnt,ascetn,asnect,ancest,ascnt,ascen,asnt,saectn,entasc,asc,csatne,eanstc,atnecs,yscent,asyent,asceny,asepnt,aszynt,ascient,ascwpent,apmuwt,wascent,ascentr,ascllent,koqpjm,fibryo
20,1,ASPECT,aspect,sapect,apsect,aspetc,ascept,acpest,apect,aspec,asct,saeptc,ectasp,ect,psatce,eacstp,atceps,kspect,asoect,aspecv,asenct,asvkct,aspqect,aspldect,avlmzt,baspect,aspectb,aspiiect,ioyurh,hobrin
21,1,ASYLUM,asylum,saylum,aslyum,asylmu,asulym,auylsm,aylum,asylu,asum,salymu,lumasy,asy,ysamul,lausmy,amulys,qsylum,asflum,asylut,aswyum,asnfum,asywlum,asyzelum,azikom,oasylum,asylumq,asyvvlum,otdcfh,becoid
22,1,AUTHOR,author,uathor,autohr,authro,auohtr,aothur,athor,autho,auor,uahtro,horaut,hor,tuaroh,haourt,arohtu,euthor,authfr,authop,autfhr,auqpor,autphor,autbghor,aiypxr,yauthor,authore,autpphor,cbdfms,idlemn
23,1,AUTISM,autism,uatism,autsim,autims,ausitm,astium,auism,autis,ausm,uaitms,ismaut,aut,tuamsi,iasumt,amsitu,lutism,autesm,autisw,auihsm,audwsm,autqism,autyeism,ahefqm,eautism,autismd,authhism,ckbhne,veldor
24,1,BACKUP,backup,abckup,bcakup,backpu,baukcp,buckap,bacup,backu,baup,abkcpu,kupbac,bac,cabpuk,kbuapc,bpukca,fackup,baekup,backuq,bcmkup,bagxup,bacokup,bacelkup,bvtjzp,nbackup,backupf,bacsskup,jvtliz,dyenth
25,1,BANTER,banter,abnter,banetr,bantre,baetnr,bentar,bnter,bante,baer,abtnre,terban,ter,nabret,tbearn,bretna,santer,binter,banteu,bnxter,bavper,bancter,bangdter,bmvypr,sbanter,banterf,banuuter,udqcsi,chodus
26,1,BASKET,basket,absket,basekt,baskte,bksaet,beskat,baket,baske,baet,abkste,ketbas,ket,sabtek,kbeats,bteksa,qasket,bnsket,basken,bahset,bagiet,basfket,basgrket,bvwpit,rbasket,basketn,basooket,dxmlwy,pholic
27,1,BEACON,beacon,ebacon,becaon,beacno,bcaeon,boacen,beaon,beaco,beon,ebcano,conbea,bea,aebnoc,cboena,bnocae,weacon,beaxon,beacov,becion,bemhon,beascon,beavmcon,bmygsn,pbeacon,beaconz,bearrcon,zldqsf,phrist
28,1,BEHALF,behalf,ebhalf,bhealf,behafl,belahf,blhaef,behlf,behal,belf,ebahfl,alfbeh,beh,hebfla,ablefh,bflahe,wehalf,behulf,behalt,bhxalf,beyclf,behgalf,behvcalf,bzvisf,rbehalf,behalfi,behuualf,xmrqwo,pickon
29,1,BEHOLD,behold,ebhold,bheold,behodl,boheld,blhoed,bhold,behol,beld,ebohdl,oldbeh,beh,hebdlo,obledh,bdlohe,pehold,behocd,beholw,beorld,beiyld,behtold,behanold,bkfiad,qbehold,beholdm,behzzold,qncxwr,rickup
30,1,BELONG,belong,eblong,belnog,belogn,boleng,bnloeg,belog,belon,beng,ebolgn,ongbel,ong,lebgno,obnegl,bgnole,celong,beloxg,belonw,beokng,beqsng,belkong,belvpong,bxfujg,jbelong,belongc,belkkong,rthdsp,phratz
31,1,BISHOP,bishop,ibshop,bisohp,bishpo,bhsiop,boship,bshop,bisho,biop,ibhspo,hopbis,bis,sibpoh,hboips,bpohsi,vishop,bisyop,bishov,bsxhop,biraop,bisthop,bisfuhop,bvterp,cbishop,bishopx,bisxxhop,zmalyw,junale
32,1,BLEACH,bleach,lbeach,blaech,bleahc,blcaeh,bcealh,blech,bleac,blch,lbaehc,achble,ach,elbhca,abclhe,bhcael,mleach,bleafh,bleacn,beyach,blqwch,blegach,blerqach,bqtuwh,jbleach,bleachj,blejjach,qukwgf,dignot
33,1,BLOUSE,blouse,lbouse,blosue,bloues,buolse,bsoule,bloue,blous,blse,lbuoes,useblo,blo,olbesu,ubsleo,besuol,qlouse,bcouse,blousc,bltose,blhpse,bloxuse,blowruse,bmhfge,hblouse,bloused,bloxxuse,wnhdvr,myrain
34,1,BOTHER,bother,obther,botehr,bothre,boehtr,bethor,boter,bothe,boer,obhtre,herbot,bot,tobreh,hbeort,brehto,fother,bothxr,bothev,btyher,bowfer,botzher,botnmher,bvxskr,fbother,botherv,botwwher,ycfijm,muding
35,1,BOUNCE,bounce,obunce,bonuce,bounec,bocnue,bcunoe,boune,bounc,boce,obnuec,ncebou,bou,uobecn,nbcoeu,becnuo,rounce,biunce,bouncs,bongce,bolgce,bouqnce,boufjnce,blivwe,zbounce,bounceh,bouvvnce,fatlki,pradly
36,1,BOUNTY,bounty,obunty,boutny,bounyt,botnuy,btunoy,bouny,bount,boty,obnuyt,ntybou,bou,uobytn,nbtoyu,bytnuo,eounty,bolnty,bountk,bulnty,bozcty,bouwnty,boueinty,bklzcy,abounty,bountyx,boullnty,xfiqhm,smacid
37,1,BRANCH,branch,rbanch,barnch,branhc,brcnah,bcanrh,banch,branc,brch,rbnahc,nchbra,nch,arbhcn,nbcrha,bhcnar,xranch,brench,brancq,brapnh,brvoch,brafnch,brauznch,bxyvzh,ebranch,branchq,braeench,pmgzok,fedius
38,1,BREACH,breach,rbeach,berach,breahc,brcaeh,bcearh,breah,breac,brch,rbaehc,achbre,ach,erbhca,abcrhe,bhcaer,greach,bteach,breaco,braqch,brzjch,breyach,breguach,bxqdyh,wbreach,breacho,breggach,pqdwtm,ginopy
