experiment,participant_id,trial_id,trial_order,phase_id,prime,target,response,response_correct,accuracy,rt,age,gender,hand,rt_measure
semantic_priming,61,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,634.355,25,M,right,keypress
semantic_priming,44,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,612.03,24,M,right,keypress
semantic_priming,10,exp1_t0,0,judgment,ragno,abete,0.0,1,0.0,547.655,23,F,right,keypress
semantic_priming,17,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,513.765,23,F,right,keypress
semantic_priming,32,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,583.7099999999999,24,F,right,keypress
semantic_priming,31,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,616.83,27,F,right,keypress
semantic_priming,67,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,651.89,24,M,right,keypress
semantic_priming,74,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,501.655,24,M,right,keypress
semantic_priming,36,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,601.9649999999999,21,M,right,keypress
semantic_priming,25,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,460.715,21,F,right,keypress
semantic_priming,12,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,552.745,23,M,right,keypress
semantic_priming,49,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,547.41,21,F,right,keypress
semantic_priming,70,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,556.4050000000001,24,F,right,keypress
semantic_priming,1,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,616.0,21,M,right,keypress
semantic_priming,8,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,817.51,21,F,left,keypress
semantic_priming,4,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,524.23,30,M,right,keypress
semantic_priming,28,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,473.0,24,F,right,keypress
semantic_priming,5,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,183.4,24,F,right,keypress
semantic_priming,64,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,590.525,24,M,right,keypress
semantic_priming,10,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,499.745,23,F,right,keypress
semantic_priming,45,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,562.74,21,F,right,keypress
semantic_priming,14,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,604.0,21,M,right,keypress
semantic_priming,37,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,465.355,20,F,right,keypress
semantic_priming,30,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,550.125,27,F,right,keypress
semantic_priming,9,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,650.595,26,F,right,keypress
semantic_priming,41,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,603.48,23,M,right,keypress
semantic_priming,59,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,521.925,22,F,right,keypress
semantic_priming,23,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,951.075,22,M,right,keypress
semantic_priming,68,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,554.71,23,F,right,keypress
semantic_priming,18,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,443.89,23,F,right,keypress
semantic_priming,17,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,564.735,23,F,right,keypress
semantic_priming,42,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,627.185,23,M,right,keypress
semantic_priming,44,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,580.82,24,M,right,keypress
semantic_priming,52,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,700.0,22,F,right,keypress
semantic_priming,47,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,465.11,22,F,right,keypress
semantic_priming,38,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,771.1,20,F,right,keypress
semantic_priming,46,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,532.6999999999999,22,F,right,keypress
semantic_priming,39,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,577.5,28,F,right,keypress
semantic_priming,53,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,495.805,25,F,right,keypress
semantic_priming,71,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,459.14,21,M,right,keypress
semantic_priming,60,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,505.0249999999999,20,F,right,keypress
semantic_priming,69,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,589.355,24,F,right,keypress
semantic_priming,11,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,780.945,23,M,right,keypress
semantic_priming,16,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,566.1800000000001,27,F,right,keypress
semantic_priming,73,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,649.65,21,F,left,keypress
semantic_priming,7,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,470.695,21,F,right,keypress
semantic_priming,54,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,421.93,26,F,right,keypress
semantic_priming,34,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,533.3449999999999,22,F,right,keypress
semantic_priming,63,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,566.3249999999999,22,F,right,keypress
semantic_priming,27,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,518.265,22,F,right,keypress
semantic_priming,26,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,785.4,21,F,right,keypress
semantic_priming,13,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,476.195,20,M,right,keypress
semantic_priming,62,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,562.0699999999999,24,M,left,keypress
semantic_priming,43,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,638.365,22,M,right,keypress
semantic_priming,22,exp1_t1,1,judgment,donna,abito,0.0,1,0.0,757.645,23,F,right,keypress
semantic_priming,72,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,621.0,20,F,right,keypress
semantic_priming,24,exp1_t1,1,judgment,donna,abito,0.0,1,0.0,242.04,22,F,right,keypress
semantic_priming,20,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,485.15500000000003,22,F,right,keypress
semantic_priming,6,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,550.52,30,F,right,keypress
semantic_priming,57,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,753.28,29,F,right,keypress
semantic_priming,66,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,508.60499999999996,23,F,left,keypress
semantic_priming,33,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,544.0,22,M,right,keypress
semantic_priming,40,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,758.0,23,F,right,keypress
semantic_priming,29,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,1133.28,24,F,right,keypress
semantic_priming,35,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,694.0,23,M,right,keypress
semantic_priming,51,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,624.395,25,M,right,keypress
semantic_priming,15,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,590.27,23,F,right,keypress
semantic_priming,75,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,615.985,24,F,right,keypress
semantic_priming,21,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,506.135,24,F,right,keypress
semantic_priming,19,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,550.665,20,F,right,keypress
semantic_priming,50,exp1_t1,1,judgment,donna,abito,0.0,1,0.0,813.0,22,F,right,keypress
semantic_priming,2,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,547.0,27,F,right,keypress
semantic_priming,61,exp1_t1,1,judgment,donna,abito,0.0,1,0.0,620.7049999999999,25,M,right,keypress
semantic_priming,3,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,498.11,21,F,right,keypress
semantic_priming,58,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,513.4100000000001,33,F,right,keypress
semantic_priming,65,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,567.005,35,F,right,keypress
semantic_priming,48,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,799.7800000000001,21,F,right,keypress
semantic_priming,56,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,558.41,22,M,left,keypress
semantic_priming,55,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,758.805,20,F,right,keypress
semantic_priming,32,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,735.5749999999999,24,F,right,keypress
semantic_priming,34,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,818.905,22,F,right,keypress
