participant_id,trial_order,cue_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20,first_key_RT1,first_key_RT2,first_key_RT3,first_key_RT4,first_key_RT5,first_key_RT6,first_key_RT7,first_key_RT8,first_key_RT9,first_key_RT10,first_key_RT11,first_key_RT12,first_key_RT13,first_key_RT14,first_key_RT15,first_key_RT16,first_key_RT17,first_key_RT18,first_key_RT19,first_key_RT20
4,6,24,NAPKIN,LINEN,PAPER,SERVIETTE,BIB,COVER,PROTECTION,POLITE,PARTY,COCKTAILS,CANAPES,NAPKIN RING,WIPE,SPILL,CLEAN,FANCY,PATTERNED,PLAIN,TABLE,SETTING,DECORATIVE,1424.2,822.7,1355.8,2113.7,3513.0,2079.9,2710.5,16181.1,627.8,899.8,952.9,4017.0,3160.6,2068.3,2553.6,2221.4,452.3,3878.2,706.2,2336.7
4,7,30,RHUBARB,TART,TRIANGLE,YORKSHIRE,GINGER,PLANT,RED,LEAVES,BITTER,YUCK,JAM,CRUMBLE,SQUEAKY,CHOP,STEW,SUGAR,GARDEN,PRODUCE,COUNTRY SHOW,UNPLEASANT,PROLIFIC,1006.8,1152.3,766.8,4260.2,1740.4,572.9,2282.2,1067.8,1115.0,1887.6,659.5,2119.8,6829.8,2166.2,3804.9,5399.8,1735.6,1280.0,5467.5,1129.4
4,8,35,SPREAD,SMEAR,SANDWICH,BUTTER,KNIFE,SOFT,MELTING,SHARE,THIN,,,,,,,,,,,,,4005.8,1166.8,2689.0,1087.5,749.1,7275.2,3459.0,2444.2,,,,,,,,,,,,
4,9,39,TOWER,LONDON,BRICKS,CASTLE,RAPUNZEL,BRIDGE,RAVENS,PRISON,DUNGEON,BATTLEMENTS,SPIRAL STAIRCASE,HIGH,TALL,ROUND,FAIRYTALE,TOURIST,GLASS,BLOCK,INFERNO,RAINBOW,FLAG,1372.6,904.9,1020.3,883.5,3300.6,1680.6,1924.1,870.1,801.9,2998.3,4437.7,489.2,3585.9,1972.4,9908.1,1053.4,3225.7,3622.9,5042.9,13463.9
4,10,40,XYLOPHONE,INSTRUMENT,MUSICAL,METAL,CHIME,BEATERS,PERCUSSION,MUSIC,MAGICAL,SCHOOL,PLINK,TOY,ALPHABET,,,,,,,,,967.6,838.6,703.2,1047.5,1918.2,792.0,3808.4,1463.4,500.0,6037.4,5462.7,597.7,,,,,,,,
5,1,1,ALPHABET,LETTER,WORD,STORY,SCHOOL,LESSON,TWENTY SIX,LETTERS,LEARNING,NAMES,ACRONYM,COMPANY,CAPITALS,LEARNING,ROTE,SPAGHETTI,NAMES,INDEX,CATEGORY,SPELLING,HOME,3603.4,5753.2,2911.7,5170.0,2995.0,4595.8,5371.7,3955.1,7219.6,5215.8,9366.9,13168.7,10415.6,1695.2,14144.7,12402.5,10108.0,4098.3,4114.4,18646.3
5,2,3,CANNONBALL,CANON,GUN,WAR,WARSHIP,ROUND,SPHERICAL,BATTLE,SPEED,RUN,BATTLEMENTS,CEREMONIAL,DEATH,INJURY,DAMAGE,BLOOD,FEAR,HISTORY,PAST,WEAPONRY,HEAVY,2151.3,1800.6,2194.1,1607.9,1992.4,2184.3,4991.8,3008.6,2369.2,9983.5,3828.7,9557.5,1523.6,1792.2,1401.9,6636.9,3944.0,8608.5,10984.5,2796.7
5,3,4,COUPON,REWARD,PAPER,ONLINE,BENEFIT,REPLACEMENT,REPAYMENT,,,,,,,,,,,,,,,4868.8,2473.9,2170.1,2123.5,15743.2,8231.4,,,,,,,,,,,,,,
5,4,5,CUDDLE,NICE,COMFORTING,WARM,LOVING,FRIENDLY,FAMILY,CHILDREN,GRANDCHILD,HAPPY,PARTNER,WIFE,HUSBAND,FIANCE,FRIENDS,MEETING,GREETING,GOOD,CHEERING,TOGETHER,JOINT,3743.0,1913.5,1958.2,1802.7,1869.8,1934.5,2233.6,2093.2,6055.9,16168.0,2211.5,1748.5,1977.5,2254.9,2096.6,1967.1,4533.0,5955.2,7142.0,2501.8
5,5,8,ENAMEL,TEETH,BATH,PAINTWORK,DECORATION,HARD,RESISTANT,SCRATCH PROOF,WHITE,BATHROOM,TILES,BLACK,,,,,,,,,,4092.2,2734.2,2279.5,6219.6,12374.0,1992.5,2643.9,15791.1,10403.6,9199.9,12604.5,,,,,,,,,
