experiment,participant_id,trial_label,trial_order,phase_id,stimulus,target_word,response,emotion,rt,age,gender,rt_measure
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t11,11,word_decoding,palabrostio,insulto,palabrota,anger,24349.9,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t12,12,word_decoding,residuera,basura,residuo,disgust,34882.2,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t13,13,word_decoding,furieta,rabia,furia,anger,62879.4,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t14,14,word_decoding,fiminos,piojos,minimos,disgust,86099.1,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t15,15,word_decoding,puntiaguja,espada,puntiagudo,fear,8974.3,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t16,16,word_decoding,plareja,novio,pareja,happiness,84453,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t17,17,word_decoding,dinería,lotería,dinero,happiness,3818.8,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t18,18,word_decoding,clespiente,veneno,serpiente,fear,8306.3,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t19,19,word_decoding,bendigolo,mendigo,mendigo,sadness,6074.6,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t20,20,word_decoding,desabete,censura,abeto,disgust,46870.1,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t21,21,word_decoding,queranza,añoranza,esperanza,sadness,15251.9,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t0,0,word_decoding,clespiente,veneno,recipiente,fear,28562.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t1,1,word_decoding,dinería,lotería,dinero,happiness,16631.9,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t2,2,word_decoding,landado,enfadado,andando,anger,6701.7,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t3,3,word_decoding,dastro,intruso,astro,fear,10958.7,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t4,4,word_decoding,frórico,eufórico,eufórico,happiness,9958.3,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t5,5,word_decoding,fiminos,piojos,fimosis,disgust,11180.6,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t6,6,word_decoding,eniecido,enemigo,encendido,anger,10373.1,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t7,7,word_decoding,descín,ruina,decir,sadness,24882,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t8,8,word_decoding,chismolo,rumor,chismoso,anger,5791.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t9,9,word_decoding,plareja,novio,pareja,happiness,5526.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t10,10,word_decoding,fumaika,tabaco,fumar,disgust,11180.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t11,11,word_decoding,residuera,basura,residuo,disgust,6229.2,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t12,12,word_decoding,fierdo,hedor,cerdo,disgust,9909.7,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t13,13,word_decoding,palabrostio,insulto,palabra,anger,9409.6,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t14,14,word_decoding,flastación,visión,tasación,happiness,40284.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t15,15,word_decoding,puntiaguja,espada,puntiaguda,fear,7847.3,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t16,16,word_decoding,bailetín,carnaval,bailarín,happiness,9727.6,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t17,17,word_decoding,distantación,lejanía,distanciación,sadness,7027.7,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t18,18,word_decoding,bendigolo,mendigo,benigno,sadness,11008.4,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t19,19,word_decoding,enjauladero,prisión,enjaulado,fear,12243,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t20,20,word_decoding,furieta,rabia,furiosa,anger,13111.2,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t21,21,word_decoding,queranza,añoranza,esperanza,sadness,7479.1,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t22,22,word_decoding,argola,pistola,argolla,fear,53069.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_6,exp2_t23,23,word_decoding,valacer,cadáver,prevalecer,sadness,8812.4,18,male,keypress
