experiment,participant_id,trial_label,trial_order,phase_id,stimulus,response,emotion,rt,age,gender,rt_measure
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t10,10,production,espada,frifri,fear,19249.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t11,11,production,lejanía,nocer,sadness,9657.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t12,12,production,insulto,jiome,anger,7614.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t13,13,production,rumor,xismalo,anger,15141,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t14,14,production,prisión,jaicel,fear,47425.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t15,15,production,tabaco,matuma,disgust,12539.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t0,0,production,enemigo,archimigo,anger,17610,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t1,1,production,espada,ischina,fear,16405.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t2,2,production,rabia,arquia,anger,22728,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t3,3,production,pistola,argola,fear,87411.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t4,4,production,censura,restringimiento,disgust,44032.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t5,5,production,insulto,metimierda,anger,55389.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t6,6,production,ruina,vadija,sadness,17271.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t7,7,production,rumor,catalazo,anger,12100.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t8,8,production,añoranza,melonza,sadness,95326.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t9,9,production,lotería,alegreria,happiness,80567.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t10,10,production,intruso,notinvito,fear,63799.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t11,11,production,novio,amorado,happiness,46881.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t12,12,production,mendigo,pobratino,sadness,12007.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t13,13,production,cadáver,morteral,sadness,32269.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t14,14,production,carnaval,disfrezaria,happiness,32473.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t15,15,production,basura,mierdura,disgust,10714.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t16,16,production,tabaco,cabaca,disgust,112473.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t17,17,production,veneno,mateno,fear,93720.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t18,18,production,lejanía,apartita,sadness,103458.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t19,19,production,enfadado,ofurriscada,anger,30027.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t20,20,production,visión,enfacacion,happiness,56327.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t21,21,production,hedor,ascaroma,disgust,63982.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_8,exp1_t22,22,production,eufórico,tetrastico,happiness,37388.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t0,0,production,eufórico,estástico,happiness,10836.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t1,1,production,enemigo,rivelño,anger,11944.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t2,2,production,espada,enfalfa,fear,41657.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t3,3,production,veneno,toxano,fear,23993.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t4,4,production,censura,tapaura,disgust,34794.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t5,5,production,intruso,infroso,fear,60869.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t6,6,production,carnaval,disfrazal,happiness,19471.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t7,7,production,novio,enmatriado,happiness,15128.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t8,8,production,lotería,dinería,happiness,73008.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t9,9,production,enfadado,filgrado,anger,35876,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t10,10,production,visión,ocusión,happiness,24397.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t11,11,production,lejanía,distenía,sadness,50534.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t12,12,production,pistola,pumtora,fear,19134.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t13,13,production,añoranza,hechemenura,sadness,31109,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t14,14,production,basura,güarría,disgust,48160.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t15,15,production,hedor,losón,disgust,39997.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t16,16,production,mendigo,caudigo,sadness,11055.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t17,17,production,rabia,trapia,anger,35692,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t18,18,production,tabaco,humato,disgust,12343.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t19,19,production,rumor,mentriña,anger,29279.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t20,20,production,insulto,maltuto,anger,14729.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t21,21,production,prisión,catrón,fear,34296,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t22,22,production,ruina,cochombre,sadness,12135.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_9,exp1_t23,23,production,piojos,lingüillas,disgust,9924,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t0,0,production,mendigo,casinogo,sadness,17996.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t1,1,production,insulto,turolo,anger,7398.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t2,2,production,lotería,sertinoa,happiness,14107.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t3,3,production,cadáver,porderun,sadness,29437.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t4,4,production,intruso,pimpruro,fear,9174.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t5,5,production,veneno,roterno,fear,11475.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t6,6,production,prisión,sincarape,fear,10338.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t7,7,production,novio,imore,happiness,17079.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t8,8,production,añoranza,pesitancia,sadness,13419.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t9,9,production,hedor,carestor,disgust,11764.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t10,10,production,carnaval,fernital,happiness,18224.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t11,11,production,eufórico,teratónico,happiness,14808.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t12,12,production,rumor,susero,anger,11964.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t13,13,production,tabaco,fumuro,disgust,10331.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t14,14,production,lejanía,esperena,sadness,17699.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t15,15,production,ruina,prinua,sadness,8555.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t16,16,production,basura,trasusa,disgust,11361.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t17,17,production,enfadado,satanano,anger,11406.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t18,18,production,enemigo,tericolde,anger,4400.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_10,exp1_t19,19,production,pistola,bumpirona,fear,25790.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t0,0,production,carnaval,fedasal,happiness,24434.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t1,1,production,espada,estreada,fear,23850.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t2,2,production,hedor,olheor,disgust,26768.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t3,3,production,eufórico,rudíco,happiness,20571.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t4,4,production,ruina,uquina,sadness,8472,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t5,5,production,pistola,pamtola,fear,18983.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t6,6,production,basura,rabstura,disgust,32145.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t7,7,production,insulto,iferto,anger,26150.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t8,8,production,enemigo,exequigo,anger,112796.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t9,9,production,novio,muabio,happiness,33745.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t10,10,production,lejanía,andanía,sadness,45600.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t11,11,production,censura,rutpaura,disgust,39100.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t12,12,production,prisión,rejisión,fear,14455.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t13,13,production,visión,lojión,happiness,46550.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t14,14,production,rumor,senesor,anger,76996.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t15,15,production,mendigo,pobnedor,sadness,106283.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t16,16,production,veneno,boxino,fear,25238.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t17,17,production,piojos,piquellos,disgust,20978.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t18,18,production,tabaco,fataco,disgust,57588.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t19,19,production,intruso,iscintro,fear,45450.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t20,20,production,enfadado,fervedado,anger,25435.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t21,21,production,lotería,sortiría,happiness,14838.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_11,exp1_t22,22,production,cadáver,murtácer,sadness,121529.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_12,exp1_t0,0,production,insulto,gintulño,anger,41829.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_12,exp1_t1,1,production,enfadado,roterbo,anger,6312.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_12,exp1_t2,2,production,carnaval,umbrega,happiness,8210.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_12,exp1_t3,3,production,rumor,yiste,anger,9344.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_12,exp1_t4,4,production,lejanía,fustanía,sadness,13259.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_12,exp1_t5,5,production,lotería,gista,happiness,6946.5,18,female,keypress
