participant_id,age,gender,education,handedness,stimulus,response,rt,rt_measure
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"5. Λιγότεροι άνθρωποι έχουν πάει στο Βερολίνο απ’ ό,τι εγώ. Fewer people have been to Berlin than I have.",Correct,2755,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"6. Περισσότερα παιδιά έχουν τελειώσει το λύκειο απ’ ό,τι εγώ. More kids have finished high school than I have.",Correct,2690,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"7. Περισσότερα παιδιά έχουν τελειώσει το σχολείο απ’ ό,τι εσύ. More kids have finished school than you have.",Correct,2617,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"8. Περισσότεροι άντρες έχουν τελειώσει το σχολείο απ’ ό,τι αυτός. More men have finished school than he has.",Correct,3144,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"9. Περισσότεροι άντρες έχουν τελειώσει το λύκειο απ’ ό,τι αυτή. More men have finished high school than she has.",Correct,3811,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"10. Λιγότεροι άνθρωποι έχουν τελειώσει το λύκειο απ’ ό,τι εγώ. Fewer people have finished high school than I have.",Correct,4544,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"11. Περισσότερες φορές πήγα στην Αγγλία απ’ ό,τι στη Γερμανία. More times I visited England than Germany.",Correct,2658,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"12. Περισσότερες φορές τρώω στο γραφείο μου απ’ ό,τι στο σπίτι μου. More times I eat at my office than at my house.",Correct,2851,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"13. Περισσότερες φορές πηγαίνω στο σινεμά απ’ ό,τι στο θέατρο. More times Ι go to the cinema than to the theater.",Correct,6915,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"14. Περισσότερες φορές πηγαίνουμε στη θάλασσα απ’ό,τι στο βουνό. More times we go to the sea than to the mountain.",Correct,2330,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"15. Περισσότερες φορές μαγειρεύω μόνη μου απ’ ό,τι με τους φίλους.",Correct,2513,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,16. Το κλειδί εκείνων των συρταριών βρίσκονται στο μαρμάρινο τραπέζι. The key to these cabinets are on the marble table.,Wrong,3294,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,17. Η κόρη των δασκάλων της Μαρίνας στέκονται στην αυλή του σχολείου. The daughter of Marina’s teachers are standing in the school yard.,Wrong,5558,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,18. To σκυλάκι των παιδιών των γειτόνων μας παίζουν ήσυχα στον κήπο τους. The doggie of our neighbours’ kids are playing quietly in the garden.,Wrong,3271,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,19. Η φλόγα των κεριών στα τραπεζάκια του μπαρ τρεμόπαιζαν στο σκοτάδι. The flame of the candles on the tables of the bar were flickering in the darkness.,Wrong,7990,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,20. Ο θόρυβος από τα τραγούδια των μαθητών μας δεν σταματούν ποτέ. The noise from the songs of our students never end.,Correct,5870,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,21. Τα βιβλία της κόρης του Κωνσταντίνου βρίσκεται στη βιβλιοθήκη. The books of Konstantinos’ daughter is at the library.,Wrong,4312,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,22. H βαλίτσα των διάσημων τραγουδιστών ξεχάστηκαν μέσα στο ταξί. The suitcase of the famous singers were forgotten in the taxi.,Wrong,3060,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,23. Η θήκη εκείνων των φακών επαφής βρίσκονται στο πάνω συρτάρι. The case of these contact lenses are on the top shelf.,Wrong,4129,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,24. Οι ηθοποιοί που ο σκηνοθέτης οδηγεί τους ακούει σιωπηλά. The actors that the director guides listens to them silently.,Wrong,5497,keypress
