participant_id;stimulus;response;accuracy;rt;trial_order;age
29;bluoso;2;1;622;47;29
29;bluenza;2;1;709;48;29
29;biancozione;2;1;945;49;29
29;chiacchiere;1;1;735;50;29
29;bellezza;1;1;586;51;29
29;giallomento;2;1;943;52;29
29;rosamento;2;1;800;53;29
29;bluoso;2;1;539;54;29
29;rosenza;2;1;657;55;29
29;giallomento;2;1;647;56;29
29;arancionezione;2;1;752;57;29
29;materia;1;1;615;58;29
29;bianchista;2;1;933;59;29
29;verdenza;2;1;836;60;29
29;verdiere;2;1;687;61;29
29;arancionezione;2;1;873;62;29
29;differenza;1;1;601;63;29
29;bianchenza;2;1;861;64;29
29;arancionezza;1;0;1204;65;29
29;verdiere;2;1;913;66;29
29;verdabile;2;1;767;67;29
29;potenza;1;1;674;68;29
29;bluiere;2;1;549;69;29
29;emergenza;1;1;571;70;29
29;rosista;2;1;832;71;29
29;attenzione;1;1;696;72;29
29;riconoscimento;1;1;1298;73;29
29;arancionetore;2;1;1063;74;29
29;terrorismo;1;1;682;75;29
29;giallabile;2;1;700;76;29
29;gialleria;2;1;1537;77;29
29;cacciatore;1;1;560;78;29
29;arancionabile;2;1;1200;79;29
29;bianchismo;2;1;774;80;29
29;dottore;1;1;645;81;29
29;giallista;2;1;714;82;29
29;arancionetore;2;1;804;83;29
29;verdenza;2;1;594;84;29
29;arancionista;2;1;578;85;29
29;arancioniere;2;1;620;86;29
29;verdismo;2;1;598;87;29
29;esperimento;1;1;671;88;29
29;arancionista;2;1;628;89;29
29;rosenza;2;1;602;90;29
29;bluezza;2;1;519;91;29
29;biancomento;2;1;762;92;29
29;verdezza;2;1;613;93;29
29;prezioso;1;1;617;94;29
29;bluismo;2;1;571;95;29
29;verderia;2;1;749;96;29
29;verderia;2;1;524;97;29
29;stazione;1;1;611;98;29
29;batteria;1;1;504;99;29
29;direttore;1;1;607;100;29
29;gialloso;2;1;1054;101;29
29;probabile;1;1;686;102;29
29;biancotore;2;1;836;103;29
29;tempismo;1;1;568;104;29
29;arancionenza;2;1;752;105;29
29;nervoso;1;1;690;106;29
29;rosezza;2;1;1041;107;29
29;scegliere;1;1;611;108;29
29;giallenza;2;1;694;109;29
29;improbabile;1;1;559;110;29
29;movimento;1;1;688;111;29
29;miseria;1;1;602;112;29
29;rivista;1;1;689;113;29
29;arancionenza;2;1;684;114;29
29;affidabile;1;1;559;115;29
29;bianchista;2;1;840;116;29
29;lotteria;1;1;581;117;29
29;romanticismo;1;1;836;118;29
29;biancozione;2;1;794;119;29
29;rosiere;1;0;1395;120;29
29;rosazione;2;1;762;121;29
29;segreteria;1;1;633;122;29
29;elemento;1;1;584;123;29
29;adorabile;1;1;597;124;29
29;arancioneria;2;1;1195;125;29
29;biancoso;2;1;862;126;29
29;bluabile;2;1;711;127;29
29;dolcezza;1;1;587;128;29
29;giallista;1;0;422;129;29
29;bluzione;2;1;617;130;29
29;gialloso;2;1;1023;131;29
29;bluabile;2;1;478;132;29
29;biancabile;2;1;665;133;29
29;verdezione;2;1;683;134;29
29;verdetore;2;1;559;135;29
29;instabile;1;1;582;136;29
29;colazione;1;1;591;137;29
29;arancionismo;2;1;695;138;29
29;bianchiere;2;1;1199;139;29
29;gialliere;2;1;1002;140;29
29;gialliere;2;1;541;141;29
29;arancioniere;2;1;1141;142;29
29;bianchismo;2;1;631;143;29
29;verdista;2;1;610;144;29
29;blumento;2;1;753;145;29
29;rosazione;2;1;562;146;29
29;riposo;1;1;1187;147;29
29;colpevolezza;1;1;681;148;29
29;giallismo;2;1;641;149;29
29;giallotore;2;1;570;150;29
29;arancionoso;2;1;1183;151;29
29;bluenza;2;1;532;152;29
29;dentista;1;1;587;153;29
29;intelligenza;1;1;516;154;29
29;verdista;2;1;1171;155;29
29;rosezza;2;1;576;156;29
29;responsabile;1;1;610;157;29
29;biancotore;2;1;669;158;29
29;rosamento;2;1;597;159;29
29;giallabile;2;1;845;160;29
29;bluista;2;1;586;161;29
29;giornalista;1;1;709;162;29
29;blutore;2;1;552;163;29
29;mestiere;1;1;602;164;29
29;pazienza;1;1;582;165;29
29;artista;1;1;539;166;29
29;umorismo;1;1;563;167;29
29;situazione;1;1;582;168;29
29;musicista;1;1;569;169;29
29;gialleria;2;1;752;170;29
29;arancionemento;2;1;767;171;29
29;verdoso;2;1;761;172;29
29;rosabile;1;0;678;173;29
29;arancionemento;2;1;546;174;29
29;verdismo;2;1;633;175;29
29;eufemismo;1;1;797;176;29
29;verdezione;2;1;645;177;29
29;verdemento;2;1;687;178;29
29;bluismo;2;1;840;179;29
29;giallozione;2;1;522;180;29
29;verdoso;2;1;475;181;29
29;bianchiere;2;1;720;182;29
29;maniere;1;1;733;183;29
29;rososo;2;1;646;184;29
29;blueria;2;1;554;185;29
29;rosabile;2;1;686;186;29
29;biancabile;2;1;614;187;29
29;rososo;2;1;541;188;29
29;giallozione;2;1;543;189;29
30;arancionista;2;1;831;1;31
30;rosatore;2;1;726;2;31
30;elemento;1;1;552;3;31
30;giallismo;2;1;1064;4;31
30;rivista;1;1;587;5;31
30;giallabile;2;1;565;6;31
30;rosazione;2;1;670;7;31
30;verdetore;2;1;518;8;31
30;maniere;1;1;961;9;31
30;movimento;1;1;568;10;31
30;bluista;2;1;502;11;31
30;rosezza;2;1;934;12;31
30;verdista;2;1;690;13;31
30;situazione;1;1;572;14;31
30;rosismo;2;1;784;15;31
30;musicista;1;1;573;16;31
30;tradimento;1;1;531;17;31
30;verdismo;2;1;458;18;31
30;gialleria;1;0;595;19;31
30;arancionetore;2;1;789;20;31
30;biancotore;2;1;1007;21;31
30;giallozione;2;1;601;22;31
30;rosenza;2;1;612;23;31
30;instabile;1;1;605;24;31
30;senatore;1;1;522;25;31
30;dottore;1;1;451;26;31
30;gialliere;2;1;633;27;31
30;rosabile;2;1;646;28;31
30;bianchismo;1;0;464;29;31
30;riposo;2;0;750;30;31
30;artista;1;1;564;31;31
30;scienza;1;1;496;32;31
30;improbabile;1;1;476;33;31
30;verderia;2;1;575;34;31
30;investigatore;1;1;591;35;31
30;bluista;2;1;551;36;31
30;altezza;1;1;482;37;31
30;biancozione;2;1;559;38;31
30;stazione;1;1;461;39;31
30;cacciatore;1;1;476;40;31
30;verdabile;2;1;491;41;31
30;esperimento;1;1;560;42;31
30;verdezione;2;1;521;43;31
30;bianchiere;2;1;591;44;31
30;bluiere;2;1;678;45;31
30;blumento;2;1;538;46;31
30;verdezza;2;1;459;47;31
30;rosabile;2;1;628;48;31
30;rosamento;2;1;630;49;31
30;potenza;1;1;625;50;31
30;biancoso;2;1;557;51;31
30;gialliere;2;1;510;52;31
30;rososo;2;1;613;53;31
30;giallomento;2;1;545;54;31
30;arancionetore;2;1;612;55;31
30;giallismo;2;1;519;56;31
30;verdabile;2;1;543;57;31
30;arancioneria;2;1;485;58;31
30;gialleria;2;1;652;59;31
30;arancionezione;2;1;561;60;31
30;verdenza;2;1;499;61;31
30;tempismo;1;1;529;62;31
30;arancionenza;2;1;528;63;31
30;arancionabile;2;1;534;64;31
30;bluoso;2;1;484;65;31
30;rosatore;2;1;394;66;31
30;schifoso;1;1;532;67;31
30;chiacchiere;1;1;414;68;31
30;probabile;1;1;457;69;31
30;arancionezza;2;1;520;70;31
30;attenzione;1;1;542;71;31
30;infermiere;1;1;611;72;31
30;colazione;1;1;462;73;31
30;togliere;1;1;577;74;31
30;bianchenza;2;1;504;75;31
30;differenza;2;0;491;76;31
30;bluezza;2;1;541;77;31
30;giallenza;2;1;517;78;31
30;emergenza;1;1;581;79;31
30;organismo;1;1;528;80;31
30;arancioniere;2;1;629;81;31
30;giallabile;2;1;633;82;31
30;arancionismo;2;1;660;83;31
30;bluiere;2;1;584;84;31
30;verdenza;2;1;616;85;31
30;biancomento;2;1;797;86;31
30;arancionismo;2;1;465;87;31
30;nervoso;1;1;741;88;31
30;intervista;1;1;610;89;31
30;giallista;2;1;559;90;31
30;bianchismo;2;1;511;91;31
30;bellezza;1;1;569;92;31
30;bluismo;1;0;531;93;31
30;verdismo;1;0;416;94;31
30;giallomento;2;1;487;95;31
30;bluabile;2;1;514;96;31
30;bluismo;2;1;536;97;31
30;biancomento;2;1;616;98;31
30;verdista;2;1;488;99;31
30;verdemento;2;1;527;100;31
