participant_id,age,gender,education,handedness,session_id,trial_id,condition,stimulus_type,stimulus,stimulus_translation,accuracy,rt,rt_measure
1,22,male,16,right,1,ldt_1_1_0193,lexical_decision,pseudoword,EPSUME,,1,616,keypress
1,22,male,16,right,1,ldt_1_1_0194,lexical_decision,word,PERDENTE,loser,1,745,keypress
1,22,male,16,right,1,ldt_1_1_0195,lexical_decision,pseudoword,TUNGINI,,1,858,keypress
1,22,male,16,right,1,ldt_1_1_0196,lexical_decision,word,RISTORANTE,restaurant,1,768,keypress
1,22,male,16,right,1,ldt_1_1_0197,lexical_decision,word,TORTA,cake,1,1030,keypress
1,22,male,16,right,1,ldt_1_1_0198,lexical_decision,word,FINESTRA,window,1,530,keypress
1,22,male,16,right,1,ldt_1_1_0199,lexical_decision,pseudoword,DELATI,,1,684,keypress
1,22,male,16,right,1,ldt_1_1_0200,lexical_decision,word,ISTRUZIONE,education,1,507,keypress
1,22,male,16,right,1,ldt_1_1_0201,lexical_decision,pseudoword,NAMOSCE,,1,1043,keypress
1,22,male,16,right,1,ldt_1_1_0202,lexical_decision,pseudoword,RISFOCENTE,,1,662,keypress
1,22,male,16,right,1,ldt_1_1_0203,lexical_decision,word,MONTAGNA,mountain,1,489,keypress
1,22,male,16,right,1,ldt_1_1_0204,lexical_decision,word,CADAVERE,corpse,1,639,keypress
1,22,male,16,right,1,ldt_1_1_0205,lexical_decision,pseudoword,LACE,,0,870,keypress
1,22,male,16,right,1,ldt_1_1_0206,lexical_decision,word,DOLORE,ache,1,640,keypress
1,22,male,16,right,1,ldt_1_1_0207,lexical_decision,word,TIMIDO,timid,1,545,keypress
1,22,male,16,right,1,ldt_1_1_0208,lexical_decision,word,IGNORANZA,ignorance,1,644,keypress
1,22,male,16,right,1,ldt_1_1_0209,lexical_decision,pseudoword,PEVRUIRRO,,1,650,keypress
1,22,male,16,right,1,ldt_1_1_0210,lexical_decision,word,SFERA,sphere,1,634,keypress
1,22,male,16,right,1,ldt_1_1_0211,lexical_decision,pseudoword,ISALE,,1,645,keypress
1,22,male,16,right,1,ldt_1_1_0212,lexical_decision,word,UMILIARE,humiliate,1,601,keypress
1,22,male,16,right,1,ldt_1_1_0213,lexical_decision,word,BALCONE,balcony,1,673,keypress
1,22,male,16,right,1,ldt_1_1_0214,lexical_decision,pseudoword,TOTE,,1,769,keypress
1,22,male,16,right,1,ldt_1_1_0215,lexical_decision,word,STAMPELLA,crutch,1,729,keypress
1,22,male,16,right,1,ldt_1_1_0216,lexical_decision,pseudoword,VISAO,,1,679,keypress
1,22,male,16,right,1,ldt_1_1_0217,lexical_decision,word,SICURO,safe,1,539,keypress
1,22,male,16,right,1,ldt_1_1_0218,lexical_decision,pseudoword,INASO,,1,618,keypress
1,22,male,16,right,1,ldt_1_1_0219,lexical_decision,word,ISPIRARE,inspire,1,630,keypress
1,22,male,16,right,1,ldt_1_1_0220,lexical_decision,word,FUNGO,mushroom,1,659,keypress
1,22,male,16,right,1,ldt_1_1_0221,lexical_decision,word,COLONNA,column,1,663,keypress
1,22,male,16,right,1,ldt_1_1_0222,lexical_decision,pseudoword,BAVRETTOSI,,1,1124,keypress
1,22,male,16,right,1,ldt_1_1_0223,lexical_decision,word,APE,bees,1,540,keypress
1,22,male,16,right,1,ldt_1_1_0224,lexical_decision,word,MINACCIA,menace,1,491,keypress
1,22,male,16,right,1,ldt_1_1_0225,lexical_decision,word,SVESTITO,naked,1,730,keypress
1,22,male,16,right,1,ldt_1_1_0226,lexical_decision,word,PAZZO,insane,1,1017,keypress
1,22,male,16,right,1,ldt_1_1_0227,lexical_decision,pseudoword,MASITISO,,0,443,keypress
1,22,male,16,right,1,ldt_1_1_0228,lexical_decision,word,SUICIDIO,suicide,1,603,keypress
1,22,male,16,right,1,ldt_1_1_0229,lexical_decision,word,NEGLIGENZA,neglect,1,983,keypress
1,22,male,16,right,1,ldt_1_1_0230,lexical_decision,word,MORBIDO,soft,1,551,keypress
1,22,male,16,right,1,ldt_1_1_0231,lexical_decision,word,STRESSATO,distressed,1,589,keypress
1,22,male,16,right,1,ldt_1_1_0232,lexical_decision,word,PENTITO,repentant,1,666,keypress
1,22,male,16,right,1,ldt_1_1_0233,lexical_decision,word,LIBERAZIONE,liberty,1,686,keypress
1,22,male,16,right,1,ldt_1_1_0234,lexical_decision,word,TRAGEDIA,tragedy,1,1045,keypress
1,22,male,16,right,1,ldt_1_1_0235,lexical_decision,pseudoword,CASTASSO,,1,720,keypress
1,22,male,16,right,1,ldt_1_1_0236,lexical_decision,pseudoword,MOCCA,,1,649,keypress
1,22,male,16,right,1,ldt_1_1_0237,lexical_decision,pseudoword,PALTE,,1,650,keypress
1,22,male,16,right,1,ldt_1_1_0238,lexical_decision,word,ULIVO,olive_tree,1,1473,keypress
1,22,male,16,right,1,ldt_1_1_0239,lexical_decision,pseudoword,GACCANO,,1,718,keypress
1,22,male,16,right,1,ldt_1_1_0240,lexical_decision,word,IRA,rage,1,635,keypress
1,22,male,16,right,1,ldt_1_1_0241,lexical_decision,word,TENNIS,tennis,1,506,keypress
1,22,male,16,right,1,ldt_1_1_0242,lexical_decision,word,SALVATORE,savior,1,568,keypress
1,22,male,16,right,1,ldt_1_1_0243,lexical_decision,pseudoword,VICIVI,,1,686,keypress
1,22,male,16,right,1,ldt_1_1_0244,lexical_decision,pseudoword,POLETAIMMO,,1,887,keypress
1,22,male,16,right,1,ldt_1_1_0245,lexical_decision,pseudoword,TENI,,1,855,keypress
1,22,male,16,right,1,ldt_1_1_0246,lexical_decision,pseudoword,SPARNERO,,1,886,keypress
1,22,male,16,right,1,ldt_1_1_0247,lexical_decision,pseudoword,AMBIRI,,1,893,keypress
1,22,male,16,right,1,ldt_1_1_0248,lexical_decision,pseudoword,IMMOSSIOVORE,,1,701,keypress
1,22,male,16,right,1,ldt_1_1_0249,lexical_decision,word,AUDACE,bold,1,681,keypress
1,22,male,16,right,1,ldt_1_1_0250,lexical_decision,word,CESTO,basket,1,964,keypress
1,22,male,16,right,1,ldt_1_1_0251,lexical_decision,word,TAPPETO,carpet,1,586,keypress
1,22,male,16,right,1,ldt_1_1_0252,lexical_decision,pseudoword,IMALE,,1,752,keypress
1,22,male,16,right,1,ldt_1_1_0253,lexical_decision,pseudoword,PLENOZENA,,1,700,keypress
1,22,male,16,right,1,ldt_1_1_0254,lexical_decision,word,SCULACCIATA,spanking,1,893,keypress
1,22,male,16,right,1,ldt_1_1_0255,lexical_decision,pseudoword,ZOMPRERA,,1,763,keypress
1,22,male,16,right,1,ldt_1_1_0256,lexical_decision,word,PRETE,priest,1,594,keypress
1,22,male,16,right,1,ldt_1_1_0257,lexical_decision,pseudoword,MAVINCHI,,1,560,keypress
1,22,male,16,right,1,ldt_1_1_0258,lexical_decision,pseudoword,VUEPO,,1,666,keypress
1,22,male,16,right,1,ldt_1_1_0259,lexical_decision,word,PECCAMINOSO,sinful,1,878,keypress
1,22,male,16,right,1,ldt_1_1_0260,lexical_decision,pseudoword,BRAGALI,,1,645,keypress
1,22,male,16,right,1,ldt_1_1_0261,lexical_decision,word,FORCINA,hairpin,1,692,keypress
1,22,male,16,right,1,ldt_1_1_0262,lexical_decision,pseudoword,OCATENNA,,1,979,keypress
1,22,male,16,right,1,ldt_1_1_0263,lexical_decision,pseudoword,STIBBATO,,1,699,keypress
1,22,male,16,right,1,ldt_1_1_0264,lexical_decision,pseudoword,GHEMA,,1,528,keypress
1,22,male,16,right,1,ldt_1_1_0265,lexical_decision,word,MARTELLO,hammer,1,628,keypress
1,22,male,16,right,1,ldt_1_1_0266,lexical_decision,word,ESULTANTE,elated,1,594,keypress
1,22,male,16,right,1,ldt_1_1_0267,lexical_decision,word,FAMA,fame,1,548,keypress
1,22,male,16,right,1,ldt_1_1_0268,lexical_decision,pseudoword,SIURI,,1,902,keypress
