participant_id,age,gender,education,handedness,session_id,trial_id,condition,stimulus,stimulus_translation,accuracy,rt,rt_measure
11,26,female,16,right,1,naming_11_1_0373,word_naming,PRIMAVERA,spring,1,507,voice_onset
11,26,female,16,right,1,naming_11_1_0374,word_naming,ISPIRATO,inspired,1,511,voice_onset
11,26,female,16,right,1,naming_11_1_0375,word_naming,ARRUGGINITO,rusty,1,521,voice_onset
11,26,female,16,right,1,naming_11_1_0376,word_naming,PENTITO,repentant,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0377,word_naming,ANSIOSO,anxious,1,511,voice_onset
11,26,female,16,right,1,naming_11_1_0378,word_naming,SORPRESO,surprised,1,448,voice_onset
11,26,female,16,right,1,naming_11_1_0379,word_naming,INVESTIRE,invest,1,679,voice_onset
11,26,female,16,right,1,naming_11_1_0380,word_naming,LETTERA,letter,1,532,voice_onset
11,26,female,16,right,1,naming_11_1_0381,word_naming,COLOMBO,dove,1,517,voice_onset
11,26,female,16,right,1,naming_11_1_0382,word_naming,PAZZO,insane,1,467,voice_onset
11,26,female,16,right,1,naming_11_1_0383,word_naming,COMÒ,dresser,1,559,voice_onset
11,26,female,16,right,1,naming_11_1_0384,word_naming,OFFENDERE,offend,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0385,word_naming,NERO,black,1,509,voice_onset
11,26,female,16,right,1,naming_11_1_0386,word_naming,ABUSO,abuse,1,477,voice_onset
11,26,female,16,right,1,naming_11_1_0387,word_naming,EROINA,heroin,1,498,voice_onset
11,26,female,16,right,1,naming_11_1_0388,word_naming,MOTORE,engine,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0389,word_naming,AMATO,loved,1,463,voice_onset
11,26,female,16,right,1,naming_11_1_0390,word_naming,PIZZICOTTO,pinch,1,855,voice_onset
11,26,female,16,right,1,naming_11_1_0391,word_naming,ELETTRODOMESTICO,appliance,1,1199,voice_onset
11,26,female,16,right,1,naming_11_1_0392,word_naming,INQUIETO,tense,1,320,voice_onset
11,26,female,16,right,1,naming_11_1_0393,word_naming,AMMIRATO,admired,1,749,voice_onset
11,26,female,16,right,1,naming_11_1_0394,word_naming,SALVATAGGIO,rescue,1,479,voice_onset
11,26,female,16,right,1,naming_11_1_0395,word_naming,ORGOGLIOSO,proud,1,288,voice_onset
11,26,female,16,right,1,naming_11_1_0396,word_naming,PRECIPIZIO,cliff,1,630,voice_onset
11,26,female,16,right,1,naming_11_1_0397,word_naming,LAGO,lake,1,542,voice_onset
11,26,female,16,right,1,naming_11_1_0398,word_naming,FOLLE,mad,1,518,voice_onset
11,26,female,16,right,1,naming_11_1_0399,word_naming,VIVACE,lively,1,697,voice_onset
11,26,female,16,right,1,naming_11_1_0400,word_naming,SERENO,untroubled,1,458,voice_onset
11,26,female,16,right,1,naming_11_1_0401,word_naming,AUTOSTRADA,highway,1,488,voice_onset
11,26,female,16,right,1,naming_11_1_0402,word_naming,OROLOGIO,clock,1,602,voice_onset
11,26,female,16,right,1,naming_11_1_0403,word_naming,AFFETTO,affection,1,460,voice_onset
11,26,female,16,right,1,naming_11_1_0404,word_naming,LETAME,manure,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0405,word_naming,ZUCCHERO,sugar,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0406,word_naming,CRIMINALE,criminal,1,802,voice_onset
11,26,female,16,right,1,naming_11_1_0407,word_naming,VICOLO,alley,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0408,word_naming,AVIDITÀ,greed,1,942,voice_onset
11,26,female,16,right,1,naming_11_1_0409,word_naming,VISTA,vision,1,623,voice_onset
11,26,female,16,right,1,naming_11_1_0410,word_naming,AUTOMOBILE,car,1,493,voice_onset
11,26,female,16,right,1,naming_11_1_0411,word_naming,MODO,manner,1,474,voice_onset
11,26,female,16,right,1,naming_11_1_0412,word_naming,VITA,life,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0413,word_naming,MANOMETTERE,tamper,1,715,voice_onset
11,26,female,16,right,1,naming_11_1_0414,word_naming,GRUMO,lump,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0415,word_naming,VIAGGIO,voyage,1,568,voice_onset
11,26,female,16,right,1,naming_11_1_0416,word_naming,BELLO,beautiful,1,472,voice_onset
11,26,female,16,right,1,naming_11_1_0417,word_naming,REGINA,queen,1,533,voice_onset
11,26,female,16,right,1,naming_11_1_0418,word_naming,SUDICIUME,grime,1,562,voice_onset
11,26,female,16,right,1,naming_11_1_0419,word_naming,DOMINANTE,controlling,1,522,voice_onset
11,26,female,16,right,1,naming_11_1_0420,word_naming,HUMOR,humor,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0421,word_naming,ATTIVARE,activate,1,479,voice_onset
11,26,female,16,right,1,naming_11_1_0422,word_naming,MEDICINA,medicine,1,481,voice_onset
11,26,female,16,right,1,naming_11_1_0423,word_naming,EROTICO,erotic,1,492,voice_onset
11,26,female,16,right,1,naming_11_1_0424,word_naming,MAGLIA,sweater,1,494,voice_onset
11,26,female,16,right,1,naming_11_1_0425,word_naming,BOLLITORE,kettle,1,524,voice_onset
11,26,female,16,right,1,naming_11_1_0426,word_naming,ULCERA,ulcer,1,705,voice_onset
11,26,female,16,right,1,naming_11_1_0427,word_naming,GUERRA,war,1,522,voice_onset
11,26,female,16,right,1,naming_11_1_0428,word_naming,ALLEGRO,merry,1,449,voice_onset
11,26,female,16,right,1,naming_11_1_0429,word_naming,INDIFFERENTE,indifferent,1,527,voice_onset
11,26,female,16,right,1,naming_11_1_0430,word_naming,FANGHIGLIA,slush,1,570,voice_onset
11,26,female,16,right,1,naming_11_1_0431,word_naming,CIOCCOLATO,chocolate,1,505,voice_onset
11,26,female,16,right,1,naming_11_1_0432,word_naming,PENTOLA,pot,1,526,voice_onset
11,26,female,16,right,1,naming_11_1_0433,word_naming,RICCHEZZE,riches,1,941,voice_onset
11,26,female,16,right,1,naming_11_1_0434,word_naming,AUTOBUS,bus,1,438,voice_onset
11,26,female,16,right,1,naming_11_1_0435,word_naming,AFFLIZIONE,grief,1,553,voice_onset
11,26,female,16,right,1,naming_11_1_0436,word_naming,SCOLAPASTA,colander,1,618,voice_onset
11,26,female,16,right,1,naming_11_1_0437,word_naming,DECORARE,decorate,1,497,voice_onset
11,26,female,16,right,1,naming_11_1_0438,word_naming,INGANNO,deceit,1,508,voice_onset
11,26,female,16,right,1,naming_11_1_0439,word_naming,KETCHUP,ketchup,1,590,voice_onset
11,26,female,16,right,1,naming_11_1_0440,word_naming,AGO,needle,1,436,voice_onset
11,26,female,16,right,1,naming_11_1_0441,word_naming,STOMACO,stomach,1,460,voice_onset
11,26,female,16,right,1,naming_11_1_0442,word_naming,POSACENERE,ashtray,1,600,voice_onset
11,26,female,16,right,1,naming_11_1_0443,word_naming,ROSA,rose,1,482,voice_onset
11,26,female,16,right,1,naming_11_1_0444,word_naming,CHIRURGIA,surgery,1,575,voice_onset
11,26,female,16,right,1,naming_11_1_0445,word_naming,BURRO,butter,1,711,voice_onset
11,26,female,16,right,1,naming_11_1_0446,word_naming,ELEGANTE,elegant,1,613,voice_onset
11,26,female,16,right,1,naming_11_1_0447,word_naming,TIGRE,tiger,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0448,word_naming,COMPLEANNO,birthday,1,538,voice_onset
11,26,female,16,right,1,naming_11_1_0449,word_naming,OCCHIOLINO,wink,1,538,voice_onset
11,26,female,16,right,1,naming_11_1_0450,word_naming,ODIOSO,obnoxious,1,438,voice_onset
11,26,female,16,right,1,naming_11_1_0451,word_naming,CORDA,cord,1,494,voice_onset
11,26,female,16,right,1,naming_11_1_0452,word_naming,PREOCCUPATO,troubled,1,494,voice_onset
11,26,female,16,right,1,naming_11_1_0453,word_naming,HAMBURGER,hamburger,1,543,voice_onset
11,26,female,16,right,1,naming_11_1_0454,word_naming,TEGLIA,baking_pan,1,512,voice_onset
11,26,female,16,right,1,naming_11_1_0455,word_naming,MANIACO,maniac,1,543,voice_onset
11,26,female,16,right,1,naming_11_1_0456,word_naming,SORPRESA,treat,1,514,voice_onset
11,26,female,16,right,1,naming_11_1_0457,word_naming,VIGLIACCO,louse,1,757,voice_onset
11,26,female,16,right,1,naming_11_1_0458,word_naming,AGGRESSIVO,aggressive,1,437,voice_onset
11,26,female,16,right,1,naming_11_1_0459,word_naming,COLORE,color,1,503,voice_onset
11,26,female,16,right,1,naming_11_1_0460,word_naming,MALEDUCATO,rude,1,500,voice_onset
11,26,female,16,right,1,naming_11_1_0461,word_naming,CONTESTO,context,1,801,voice_onset
